username,rating,content,ip_address,time
桜桜桜桜桜桜,4.7,带妈妈也算亲子游吧😂 客观的说，我很喜欢这里，有100多种兰花，不是哪里都可以看到这么多品种，真的很漂亮。这里除了有兰花，还有很多叫不上名字的花卉和植物，猪笼草我认识它，小的也就小拇指那么小，大的和我手掌一般大，这个家伙很可爱，夏天太适合家里养一盆。白天室外走路多还是有点吃不消，冷室里面我可以和妈妈一呆就是一两个小时。里面还有很多微景观，值得学习。,上海,07/12/2023
匿名用户,4.0,胡姬花园作为世界遗产值得打卡，尤其是朋友在公园里脚上磨出了一个水泡，前台非常热情地拿出了创口贴，等给朋友包扎,江苏,17/02/2024
匿名用户,5.0,出票很快，绝对值得一去，里面很大，新加坡国花，很多品种，植物爱好者的天堂，门口的纪念品和书籍都想买回家，可惜太重带不走,广东,07/10/2023
M27****9930,5.0,非常美丽的地方，值得一去。我个人感觉比滨海湾花园好。特别是胡姬花馆，很多品种独特的蝴蝶兰，给爱花的人大大的惊喜。,江苏,12/08/2023
匿名用户,5.0,比现场买票便宜，里面各种兰科植物都有，还有一个温室。胡姬花都非常漂亮,中国台湾,07/12/2023
匿名用户,5.0,兰花品种非常多，非常漂亮,北京,14/02/2024
M26****8537,5.0,属于植物园里被圈起来的一小块区域，种满了一盆盆大大小小颜色各异的兰花，虽然都挺美的，但外行人也不太懂品种，走马观花没看出更多门道来，只觉得好热，最后草草兜了一圈就出去了。这个园区现场有很多上了年纪的韩国老人排队迎着兰花拍照片，个人其实觉得出片效果和世纪公园里的没什么两样。反倒是植物园随处可见的或高耸、或宽大，或簇拥的树木树丛更让人心旷神怡，既驱散暑气又有浓浓的热带风情。如果不是特别钟爱兰花的人，其实可以不用特意买张门票进来。,上海,30/09/2023
202****268,5.0,超级棒的小型树林，树种丰富多样，喜欢这个的，值得好好逛逛，强烈推荐。兰花园就像看花展，挺美。,中国香港,03/10/2023
_m13****8976,5.0,喜欢尤其是胡姬花馆，做的太用心，值得一去，他们细节做的还是比较到位的,北京,31/07/2023
嘟爸爸1013,5.0,新加坡植物园有150多年历史，是热带岛国的缩影和代表。2014年被列入《世界遗产名录》，也是全世界首个得到这份殊荣的热带园林。这里无论是兰花，植物，还是人文，环境都让人流连忘返，随处的美景都会让人陶醉……,N/A,19/01/2017
张克平,5.0,走进这个热带植物园，顿感绿意盎然，鸟语花香，令人心情舒畅。开得尤其灿烂的是胡姬花，并且专门有个胡姬花园，里面的品种十分丰富。 新加坡植物园占地54公顷，以研究和收集热带植物、园艺花卉而著称。园内有20000多种亚热带、热带的奇异花卉和珍贵的树木，可分为热带、亚热带常绿乔木、灌木、蔓藤、棕榈、竹类园艺花卉、水生植物、沼生植物、寄生植物和沙漠植物等；还有天然原始森林和热带花园，其中，国家胡姬花园最清新迷人。专业花圃，里面种植了鸡蛋花、玫瑰、蕨类植物、沙漠植物等，种类繁多的植物中包括了许多濒临灭绝的品种，一些珍稀的植物，是新加坡植物园中最有特色的。值得一提的是新加坡币五元钱后面的那棵大树就是来自新加坡植物园，这棵巨大的树，目睹了新加坡的飞速成长，也是很多新加坡人小时候的乐园，为了纪念它，把它的照片印在新加坡币五元面值的背面。这棵树的名字是巨灰藜木。,N/A,29/10/2016
2016盛夏光年,5.0,去植物园的时候直接打的到南门，好像是南门 具体不大记得了。回来的时候搭地铁 往地图北面走很远才到地铁站。新加坡的有很多的参天大树 动不动就长得很高，就连平常路过虹茂桥 随便马路2旁就是参天大树，所以植物园也不例外 看到参天大树 感觉很壮观 幻想电影侏罗纪公园里面脖子伸得很长的恐龙在我面前吃树叶，哈哈~~不好意思 我是科幻迷~跑题了~~进门的时候在服务台跟工作人员要一张植物园地图-记得要中文版的哦,N/A,04/08/2016
玉之晶莹,4.3,从乌节路做红色地铁1站到纽敦；转蓝色地铁2站到植物园门口下车。植物园公园不收费，胡姬花公园5新币。公园很大，走一圈下来2-3小时，下午3点前很热。新加坡植物园占地54公顷，以研究和收集热带植物、园艺花卉著称。园内有两万多种亚热带、热带奇异花卉和珍贵树木。植物园的植物都标明其学名及原产地。国家胡姬花园有许多兰花和珍奇的中南美洲凤梨科植物。其它的景点还有棕榈谷（PalmValley）、生态湖（Eco-Lake）和交响乐湖畔（SymphonyLake）的露天音乐会。植物园有一个藏书万册的图书馆，有一间植物标本室，收集草本植物标本约有50万种。,N/A,30/12/2015
探索大自然,5.0,Singapore 植物园交通非常方便，有地铁直接到。坐环线有植物园站，直接在这下车就是了，很好找。地铁站里面有标志哪个出口，好找。,新加坡,21/05/2023
lzizs,5.0,植物园免费的，很大，东边一半是以青少年科普教育为主，游客参观的在西半半，除了大片的池塘、各种植物，还能看到在草地上悠闲散步的小动物比如鸽子、山鸡、池塘里的乌龟鱼等等，很多当地青少年在做拓展游戏。园中园胡姬花园绝对值得去，以为不大很快能出来，其实细细转转也得半天至少，里面还有温室、冰室，很多区域展示不同的植物种类。门票五块新加坡元，60以上老人一块。美中不足的是出来时打车不太好打，植物园门口可以等车，但是工作人员说这里不是出租车站，所以车不会特别多要等一阵子，除了门口到马路边可以打到车，但其实我们到了路边一样不是很好打车，很多空车直接开进了隔壁的一家医院里。建议以后去的话还是查好公交车，有很多趟，去市中心很方便。,N/A,29/02/2016
139****8455,5.0,植物都不错，热带植物长得就好，也没有什么养护的痕迹。随处可见走地鸡，走地龟和走地蜥蜴也实在太可爱了。 兰花园非常值得一去，几千种不同的兰花，目不暇接,印度尼西亚,07/03/2023
