username,rating,content,ip_address,time,Attraction
桜桜桜桜桜桜,4.7,带妈妈也算亲子游吧😂 客观的说，我很喜欢这里，有100多种兰花，不是哪里都可以看到这么多品种，真的很漂亮。这里除了有兰花，还有很多叫不上名字的花卉和植物，猪笼草我认识它，小的也就小拇指那么小，大的和我手掌一般大，这个家伙很可爱，夏天太适合家里养一盆。白天室外走路多还是有点吃不消，冷室里面我可以和妈妈一呆就是一两个小时。里面还有很多微景观，值得学习。,上海,07/12/2023,Botanic Garden
匿名用户,4.0,胡姬花园作为世界遗产值得打卡，尤其是朋友在公园里脚上磨出了一个水泡，前台非常热情地拿出了创口贴，等给朋友包扎,江苏,17/02/2024,Botanic Garden
匿名用户,5.0,出票很快，绝对值得一去，里面很大，新加坡国花，很多品种，植物爱好者的天堂，门口的纪念品和书籍都想买回家，可惜太重带不走,广东,07/10/2023,Botanic Garden
M27****9930,5.0,非常美丽的地方，值得一去。我个人感觉比滨海湾花园好。特别是胡姬花馆，很多品种独特的蝴蝶兰，给爱花的人大大的惊喜。,江苏,12/08/2023,Botanic Garden
匿名用户,5.0,比现场买票便宜，里面各种兰科植物都有，还有一个温室。胡姬花都非常漂亮,中国台湾,07/12/2023,Botanic Garden
匿名用户,5.0,兰花品种非常多，非常漂亮,北京,14/02/2024,Botanic Garden
M26****8537,5.0,属于植物园里被圈起来的一小块区域，种满了一盆盆大大小小颜色各异的兰花，虽然都挺美的，但外行人也不太懂品种，走马观花没看出更多门道来，只觉得好热，最后草草兜了一圈就出去了。这个园区现场有很多上了年纪的韩国老人排队迎着兰花拍照片，个人其实觉得出片效果和世纪公园里的没什么两样。反倒是植物园随处可见的或高耸、或宽大，或簇拥的树木树丛更让人心旷神怡，既驱散暑气又有浓浓的热带风情。如果不是特别钟爱兰花的人，其实可以不用特意买张门票进来。,上海,30/09/2023,Botanic Garden
202****268,5.0,超级棒的小型树林，树种丰富多样，喜欢这个的，值得好好逛逛，强烈推荐。兰花园就像看花展，挺美。,中国香港,03/10/2023,Botanic Garden
_m13****8976,5.0,喜欢尤其是胡姬花馆，做的太用心，值得一去，他们细节做的还是比较到位的,北京,31/07/2023,Botanic Garden
探索大自然,5.0,Singapore 植物园交通非常方便，有地铁直接到。坐环线有植物园站，直接在这下车就是了，很好找。地铁站里面有标志哪个出口，好找。,新加坡,21/05/2023,Botanic Garden
139****8455,5.0,植物都不错，热带植物长得就好，也没有什么养护的痕迹。随处可见走地鸡，走地龟和走地蜥蜴也实在太可爱了。 兰花园非常值得一去，几千种不同的兰花，目不暇接,印度尼西亚,07/03/2023,Botanic Garden
SallyinHK,2.3,喜欢兰花的可以去 或者家人出游 否则不推荐  全部人工种植 英文解说牌 路标不明显   有个冷气花房还不错 可以进去凉快下  有一个小屏幕和英文讲解在底层  对体力要求大 做好防晒工作,新加坡,27/05/2023,Botanic Garden
joanne08H2021,5.0,园区大，环境好，适合一家大小过来,新加坡,22/04/2023,Botanic Garden
118****563,3.3,其实新加坡植物园是免费的，这里就是一个国家兰花园，里面转一圈的话大概半个多小时，花的品种还可以，性价比一般。,泰国,09/05/2023,Botanic Garden
匿名用户,5.0,这个时节去玩还不错。花穹的主题也是圣诞红和维京人。圣诞仙境很值得一看，也有很多游乐设施适合带小朋友玩。擎天树观景台在圣诞仙境内，所以只看到夜景，平时黄昏时去应该最好。,新加坡,18/12/2023,Garden by the bay
M29****8322,5.0,提前买了迷雾森林和花穹的门票，综合来说迷雾森林更有氛围再加上阿凡达特效景观加持，整体感觉比花穹好看。花穹我们过去时天已经黑了，很多植物观看效果不是特别理想，但是花穹里面有中秋节主题灯光展览所以也还不错。 两个花园看完大约需要2小时，出来后，去超级树下准备看7点45分的灯光秀。可能因为中秋节，这里人非常多，中国游客能占据一半左右。7点45分超级树灯光秀准时开始，特别应景的播放了多首中文中秋歌曲，现场氛围非常热烈。灯光秀很震撼，持续15分钟左右后散场。超级树灯光秀每晚7点45和8点45两场，注意不要错过，值得一看，关键是免费的。,吉林,06/10/2023,Garden by the bay
暖暖麻麻丫,5.0,很美，就在金沙旁边，值得一去。我们去的那天下大雨，但是两个场馆都在室内，丝毫不受天气影响。里面的设置精致有趣，孩子大人都很喜欢。 室内冷气大，去的时候记得带外衣,云南,21/12/2023,Garden by the bay
阿尔施维尔吴王僚,5.0,滨海湾花园是新加坡最著名的景点之一，在鱼尾狮公园的对面。不仅有金沙酒店，还有花穹、擎天树几个独立的景点。花穹里面就是热带雨林风貌的植物园，擎天树可以乘电梯上去。注意这几个地方彼此间要走一段路。,辽宁,26/01/2024,Garden by the bay
handsupppppp,3.7,云雾林值得一去，花穹里就是各种花，后悔没有买擎天树观景台！买之前也没有仔细了解，导致浪费了门票。9:00左右就不给进了，要去的朋友抓紧买票哦,山西,06/02/2024,Garden by the bay
匿名用户,5.0,观景台超棒！是滨海湾花园周边最高的建筑，可以看到大海，也可以看到金沙酒店，确实挺不错的，但是要注意观景台是观景台，skyway是skyway，不要买错票或者排错队了。花穹在云雾林旁边，是室内的项目，有多种花卉可以观赏，而且场馆内很凉快，确实挺不错的。,上海,31/01/2024,Garden by the bay
夢回彡,4.7,在一个巨大的温室中，生活着成百上千种热带特有的花卉与绿植，云雾林中间有一个巨大的绿植高塔，并且有一个很大的瀑布，进入后跟随路线一路向上边走边参观，再坐电梯前往塔顶，沿着空中栈步道欣赏整个花穹，极为壮观。,新加坡,15/01/2024,Garden by the bay
syrh,5.0,这是新加坡之旅最惊喜的，也是最惊艳的一个景点了，尤其是云雾林里面，《阿凡达》的主题非常引人入胜，给人非常好的体验!里边的馆非常大，关键是最难得的全程有空调，真是舍得投资的一个旅游项目，非常值得一去!,内蒙古,03/01/2024,Garden by the bay
悠莜琦琦,5.0,花穹是矮的那个，就是个大玻璃花房。游客基本都是冲着云雾林去的，如果不是联票，估计很少人会专门去花穹￼但如果对植物造景没有特别喜爱也可以两个都不看，比如我家小直男就基本没兴趣,浙江,08/01/2024,Garden by the bay
M23****6317,5.0,植物很多 空气非常好 很适合去跑步 哈哈哈哈阿凡达感十足。推荐去看哦。在携程上订比在现场更便宜一些。推荐游玩时间两个小时。交通比较方便,重庆,04/02/2024,Garden by the bay
leslieboy,5.0,声临其境，仿佛进入了爱丽丝梦游仙境，实在太美了！很多很多没有看到过的花花草草，引人入胜，是一个拍照出片的好地方，空气也很新鲜！,浙江,18/02/2024,Garden by the bay
悠莜琦琦,5.0,擎天树丛（Supertree Grove） 位于花园正中央最醒目的标志物，你可以漫步在高约22米的华侨银行空中走道（OCBC Skyway），俯瞰滨海南花园的全景。夜幕降临，还可以在树丛下观赏绚丽多彩的“花园狂想曲”灯光秀！,浙江,23/12/2023,Garden by the bay
匿名用户,5.0,植物冷室 花穹（Flower Dome） &amp; 云雾林（Cloud Forest） 两大植物冷室模拟了热带山地地区凉爽潮湿的气候、地中海亚热带地区及半干旱亚热带地区凉爽干燥的气候，展示了来自全球各个洲（南极洲除外）的10万种植物。,浙江,23/12/2023,Garden by the bay
悠莜琦琦,5.0,新加坡滨海湾花园（Gardens by the Bay）是一座市中心的超级花园，这里汇集了世界各地的特色植物和花卉，目前我们的游览体验主要是集中在滨海南花园进行。 由英国园林建筑公司Grant Associates设计的滨海南花园，是滨海湾三座花园中最大的一座。,浙江,23/12/2023,Garden by the bay
圆圆,5.0,来新加坡必打卡之地！虽然是人造景观不过里面的花花草草很是值得一看，阿凡达的制作惟妙惟肖👍仿佛置身于一个神奇的世界。,河北,29/12/2023,Garden by the bay
全幼儿园最聪明,5.0,这个目的地绝对是旅行者的天堂！美丽的风景和丰富的文化让人流连忘返。” •“这次旅行真是太棒了！遇见了独特的风土人情，收获了难以忘怀的回忆。”,广西,06/02/2024,Garden by the bay
_WeCh****827009,5.0,好美呀，一定要去滨海湾逛逛，吹吹夜晚的风，心情好极了，也要去看超级树，美轮美奂啊,福建,31/01/2024,Garden by the bay
悠莜琦琦,5.0,滨海南花园还有仙人掌绿亭（Sun Pavilion）、峡谷园（The Canyon）、蜻蜓湖和翠鸟湖（Dragonfly and Kingfisher Lakes） 来到这里，大家不妨花上一天时间，在这里闲庭漫步，将“花园城市”的美景尽收眼帘。,浙江,23/12/2023,Garden by the bay
匿名用户,5.0,很美，但一定要提前计划，大概下午四五点去拍照好看，我们晚上去天黑拍照不好看，景色也看不太清，super tree的音乐也是很赞的，可惜我们去晚了，什么都是赶赶的，没有办法好好享受，出租车不贵，如果没有叫车软件，就去排队坐blue and yellow的车，礼宾部和出租车司机告诉我们的，对师傅的约束会很多，很安全价格合理,海南,18/12/2023,Garden by the bay
M36****023,5.0,参天大树，非常壮观，更适合傍晚去，逛一圈正好可以看。花穹很一般，除非对花卉非常有研究。云雾林可以去看看，阿凡达主题设计，那么多花花草草，但没有蚊虫，也是一大奇迹。晚上的灯光秀很好看，大家都躺在地上看，大家也都很有素质，没有哄抢占位。,上海,08/12/2023,Garden by the bay
M46****3293,5.0,奇幻花园超级好看，各种奇花异草搭配到一起如梦如画。正好碰到有人在这里拍婚纱照，想来照片一定很好看。整个花园不大，但是有各种花做的造型，都拍下来也要一些时间。奇幻花园位于滨海湾花园的中间位置，靠近金沙，外观不怎么起眼，里面别有洞天。强烈推荐！,北京,23/11/2023,Garden by the bay
M46****3293,5.0,超美的室内植物园，一定要去啊。花穹里面主要是各样的花花草草和用花做的雕塑造型，很有趣。云雾林里面主要是一个阿凡达体验，有很多场景再现，逼真的雕塑，还有不少互动游戏很有意思。进到云雾林首先坐电梯到顶端，然后漫步下来，穿梭在云雾之间，身边都是一些奇花异草，仿佛置身于潘多拉星球。整体走下来很轻松，走走停停很适合拍照。,北京,20/11/2023,Garden by the bay
M29****8322,5.0,提前买了迷雾森林和花穹的门票，门口直接扫码进场，综合来说迷雾森林更有氛围再加上阿凡达特效景观加持，整体感觉比花穹好看。花穹我们过去时天已经黑了，很多植物观看效果不是特别理想，但是花穹里面有中秋节主题灯光展览所以也还不错。 两个花园看完大约需要2小时，出来后，去超级树下准备看7点45分的灯光秀。可能因为中秋节，这里人非常多，中国游客能占据一半左右。7点45分超级树灯光秀准时开始，特别应景的播放了多首中文中秋歌曲，现场氛围非常热烈。灯光秀很震撼，持续15分钟左右后散场。超级树灯光秀每晚7点45和8点45两场，注意不要错过，值得一看，关键是免费的。,吉林,06/10/2023,Garden by the bay
念念666,5.0,寒假带家里老人小孩一起来，人不算很多，但是很不错。里面挺凉快，景色不错。,浙江,11/02/2024,Garden by the bay
匿名用户,5.0,滨海湾花园非常大，不知道是不是锻炼少的缘故，走起来还是比较累的，里面有游览车，感觉又不划算。太阳比较晒，汗流浃背！奇幻里面有空调，冷气足，还是不是舒服。,浙江,23/12/2023,Garden by the bay
匿名用户,5.0,奇幻花园(Floral Fantasy) 占地1500平方米，由四个风格各异的主题花园构成，花园内还设有4D观影厅。在这里，将能获得视觉、听觉、嗅觉和触觉上的四重享受，开启一段奇幻探索之旅。,浙江,23/12/2023,Garden by the bay
匿名用户,3.7,都说新加坡是花园城市，那滨海湾公园是必须打卡的项目啦，总得来说还可以，去的时候是新加坡的雨季，天空没那么蓝，所以看上去没那么震撼。,广东,21/12/2023,Garden by the bay
136****6962,5.0,环境极美，人也很多，晚上更好看，花园里管理的很好，路标很清楚，点赞！,上海,05/01/2024,Garden by the bay
小郝5202,5.0,非常值得去，特别漂亮，绿油油各种植物很是养眼呀,黑龙江,14/02/2024,Garden by the bay
starrynight_cn,5.0,价格低廉 非常超值。电梯乘坐到顶楼，风轻轻的吹拂过来。感觉非常舒适。而且价格非常便宜。上面可以看到金沙酒店。四面环绕的都是风景,中国香港,25/01/2024,Garden by the bay
悠莜琦琦,5.0,新加坡滨海湾花园，有一个儿童玩水乐园far east organization children&#39;s garden，周末遛娃的好地方,浙江,23/12/2023,Garden by the bay
北京右下角,5.0,非常漂亮的地方，里面两个收费花园很有特色，白天和晚上是不同的风景，票价不贵，外边环境优雅，免费大花园也很有意境 都是打卡点。,北京,15/02/2024,Garden by the bay
匿名用户,4.3,云雾林属于自然与科技的结合，如果你好奇火星殖民地应该长什么样，那就值得一览。海洋馆属于绿色的天空，鱼儿在上面俯视玻璃罐中的你，感觉也不错。和国内比胜在热带鱼多，还有蝠鲼够“敬业”，不用人教，不用训练也够搞笑。当然海洋动物保育也很专业。PS：推荐购买5选2票,新加坡,10/02/2024,Garden by the bay
starrynight_cn,5.0,花穹还可以，擎天树乘电梯上去后，平台上感觉很舒适，最上层是室外的、尽量不要下雨的时候去。什么可以看到金沙酒店，离得非常近,中国香港,27/01/2024,Garden by the bay
匿名用户,5.0,滨海南花园还有仙人掌绿亭（Sun Pavilion）、峡谷园（The Canyon）、蜻蜓湖和翠鸟湖（Dragonfly and Kingfisher Lakes） 来到这里，大家不妨花上一天时间，在这里闲庭漫步，将“花园城市”的美景尽收眼帘。,浙江,16/12/2023,Garden by the bay
