username,rating,content,ip_address,time,Attraction,cleaned_content,all_words,verbs,nouns,adjectives
桜桜桜桜桜桜,4.7,带妈妈也算亲子游吧😂 客观的说，我很喜欢这里，有100多种兰花，不是哪里都可以看到这么多品种，真的很漂亮。这里除了有兰花，还有很多叫不上名字的花卉和植物，猪笼草我认识它，小的也就小拇指那么小，大的和我手掌一般大，这个家伙很可爱，夏天太适合家里养一盆。白天室外走路多还是有点吃不消，冷室里面我可以和妈妈一呆就是一两个小时。里面还有很多微景观，值得学习。,上海,07/12/2023,Botanic Garden,带妈妈也算亲子游吧 客观的说我很喜欢这里有多种兰花不是哪里都可以看到这么多品种真的很漂亮。这里除了有兰花还有很多叫不上名字的花卉和植物猪笼草我认识它小的也就小拇指那么小大的和我手掌一般大这个家伙很可爱夏天太适合家里养一盆。白天室外走路多还是有点吃不消冷室里面我可以和妈妈一呆就是一两个小时。里面还有很多微景观值得学习。,带 妈妈 算 亲子 游   客观 的说 喜欢 多种 兰花 品种 真的 很漂亮 兰花 很多 名字 花卉 植物 猪笼草 小拇指 手掌 家伙 可爱 夏天 太 适合 家里 养 一盆 白天 室外 走路 吃不消 冷室 妈妈 呆 一两个 小时 很多 微 景观 值得 学习,带 算 游 喜欢 可爱 适合 养 呆 值得 学习,妈妈 亲子 客观 兰花 品种 很漂亮 兰花 名字 花卉 植物 猪笼草 小拇指 手掌 家伙 走路 冷室 妈妈 小时 微 景观,
匿名用户,4.0,胡姬花园作为世界遗产值得打卡，尤其是朋友在公园里脚上磨出了一个水泡，前台非常热情地拿出了创口贴，等给朋友包扎,江苏,17/02/2024,Botanic Garden,胡姬花园作为世界遗产值得打卡尤其是朋友在公园里脚上磨出了一个水泡前台非常热情地拿出了创口贴等给朋友包扎,胡姬花 园 世界遗产 值得 打卡 朋友 公园 里脚上 磨出 水泡 前台 热情 拿出 创口 贴 朋友 包扎,值得 打卡 磨出 拿出 贴 包扎,胡姬花 世界遗产 朋友 公园 水泡 前台 热情 创口 朋友,
匿名用户,5.0,出票很快，绝对值得一去，里面很大，新加坡国花，很多品种，植物爱好者的天堂，门口的纪念品和书籍都想买回家，可惜太重带不走,广东,07/10/2023,Botanic Garden,出票很快绝对值得一去里面很大新加坡国花很多品种植物爱好者的天堂门口的纪念品和书籍都想买回家可惜太重带不走,出票 很快 值得 很大 新加坡 国花 很多 品种 植物 爱好者 天堂 门口 纪念品 书籍 想 买 回家 可惜 太重 带 走,值得 想 买 可惜 带 走,出票 新加坡 国花 品种 植物 爱好者 天堂 纪念品 书籍 回家 太重,很大
M27****9930,5.0,非常美丽的地方，值得一去。我个人感觉比滨海湾花园好。特别是胡姬花馆，很多品种独特的蝴蝶兰，给爱花的人大大的惊喜。,江苏,12/08/2023,Botanic Garden,非常美丽的地方值得一去。我个人感觉比滨海湾花园好。特别是胡姬花馆很多品种独特的蝴蝶兰给爱花的人大大的惊喜。,美丽 地方 值得 个人感觉 滨海湾 花园 特别 胡姬花 馆 很多 品种 独特 蝴蝶兰 爱花 大大的 惊喜,值得,美丽 地方 个人感觉 滨海湾 花园 胡姬花 馆 品种 蝴蝶兰 爱花 大大的,独特 惊喜
匿名用户,5.0,比现场买票便宜，里面各种兰科植物都有，还有一个温室。胡姬花都非常漂亮,中国台湾,07/12/2023,Botanic Garden,比现场买票便宜里面各种兰科植物都有还有一个温室。胡姬花都非常漂亮,现场 买票 便宜 兰科 植物 温室 胡姬花 漂亮,,现场 买票 兰科 植物 温室 胡姬花,便宜 漂亮
匿名用户,5.0,兰花品种非常多，非常漂亮,北京,14/02/2024,Botanic Garden,兰花品种非常多非常漂亮,兰花 品种 漂亮,,兰花 品种,漂亮
M26****8537,5.0,属于植物园里被圈起来的一小块区域，种满了一盆盆大大小小颜色各异的兰花，虽然都挺美的，但外行人也不太懂品种，走马观花没看出更多门道来，只觉得好热，最后草草兜了一圈就出去了。这个园区现场有很多上了年纪的韩国老人排队迎着兰花拍照片，个人其实觉得出片效果和世纪公园里的没什么两样。反倒是植物园随处可见的或高耸、或宽大，或簇拥的树木树丛更让人心旷神怡，既驱散暑气又有浓浓的热带风情。如果不是特别钟爱兰花的人，其实可以不用特意买张门票进来。,上海,30/09/2023,Botanic Garden,属于植物园里被圈起来的一小块区域种满了一盆盆大大小小颜色各异的兰花虽然都挺美的但外行人也不太懂品种走马观花没看出更多门道来只觉得好热最后草草兜了一圈就出去了。这个园区现场有很多上了年纪的韩国老人排队迎着兰花拍照片个人其实觉得出片效果和世纪公园里的没什么两样。反倒是植物园随处可见的或高耸或宽大或簇拥的树木树丛更让人心旷神怡既驱散暑气又有浓浓的热带风情。如果不是特别钟爱兰花的人其实可以不用特意买张门票进来。,植物园 里 圈起来 一小块 区域 种满 一盆 盆 大大小小 颜色 各异 兰花 挺 美的 外行人 太 懂 品种 走马观花 没 门道 热 草草 兜 一圈 园区 现场 很多 年纪 韩国 老人 排队 迎 兰花 拍照片 出片 效果 世纪 公园 里 没什么 两样 反倒 植物园 随处可见 高耸 宽大 簇拥 树木 树丛 更让人 心旷神怡 驱散 暑气 浓浓的 热带 风情 特别 钟爱 兰花 不用 特意 买 张 门票 进来,圈起来 种满 懂 没 兜 迎 反倒 簇拥 驱散 不用 买 进来,植物园 区域 盆 颜色 兰花 美的 外行人 品种 门道 草草 园区 现场 韩国 老人 排队 兰花 拍照片 出片 效果 世纪 公园 植物园 高耸 树木 树丛 更让人 暑气 热带 风情 钟爱 兰花 门票,各异 热 宽大
202****268,5.0,超级棒的小型树林，树种丰富多样，喜欢这个的，值得好好逛逛，强烈推荐。兰花园就像看花展，挺美。,中国香港,03/10/2023,Botanic Garden,超级棒的小型树林树种丰富多样喜欢这个的值得好好逛逛强烈推荐。兰花园就像看花展挺美。,超级 棒 小型 树林 树种 多样 喜欢 值得 好好 逛逛 强烈推荐 兰 花园 花展 挺 美,喜欢 值得 逛逛 挺,树林 树种 兰 花园 花展 美,棒
_m13****8976,5.0,喜欢尤其是胡姬花馆，做的太用心，值得一去，他们细节做的还是比较到位的,北京,31/07/2023,Botanic Garden,喜欢尤其是胡姬花馆做的太用心值得一去他们细节做的还是比较到位的,喜欢 胡姬花 馆 太 用心 值得 细节 到位,喜欢 值得 到位,胡姬花 馆 太 用心 细节,
探索大自然,5.0,Singapore 植物园交通非常方便，有地铁直接到。坐环线有植物园站，直接在这下车就是了，很好找。地铁站里面有标志哪个出口，好找。,新加坡,21/05/2023,Botanic Garden,Singapore 植物园交通非常方便有地铁直接到。坐环线有植物园站直接在这下车就是了很好找。地铁站里面有标志哪个出口好找。,Singapore   植物园 交通 地铁 坐 环线 植物园 站 下车 好找 地铁站 标志 出口 好找,坐 站 下车 好找 出口 好找,植物园 交通 地铁 环线 植物园 地铁站 标志,
139****8455,5.0,植物都不错，热带植物长得就好，也没有什么养护的痕迹。随处可见走地鸡，走地龟和走地蜥蜴也实在太可爱了。 兰花园非常值得一去，几千种不同的兰花，目不暇接,印度尼西亚,07/03/2023,Botanic Garden,植物都不错热带植物长得就好也没有什么养护的痕迹。随处可见走地鸡走地龟和走地蜥蜴也实在太可爱了。 兰花园非常值得一去几千种不同的兰花目不暇接,植物 不错 热带植物 长 养护 痕迹 随处可见 走 地鸡 走 地龟 走地 蜥蜴 实在 太 可爱   兰 花园 值得 几千种 兰花 目不暇接,养护 走 走 实在 可爱 值得,植物 痕迹 地鸡 地龟 走地 蜥蜴 兰 花园 兰花,不错 长
SallyinHK,2.3,喜欢兰花的可以去 或者家人出游 否则不推荐  全部人工种植 英文解说牌 路标不明显   有个冷气花房还不错 可以进去凉快下  有一个小屏幕和英文讲解在底层  对体力要求大 做好防晒工作,新加坡,27/05/2023,Botanic Garden,喜欢兰花的可以去。或者家人出游。否则不推荐。全部人工种植。英文解说牌。路标不明显。有个冷气花房还不错。可以进去凉快下。有一个小屏幕和英文讲解在底层。对体力要求大。做好防晒工作,喜欢 兰花 家人 出游 推荐 人工 种植 英文 解说 牌 路标 有个 冷气 花房 不错 进去 凉快 屏幕 英文 讲解 底层 体力 做好 防晒 工作,喜欢 出游 推荐 种植 解说 进去 讲解 做好 防晒 工作,兰花 家人 人工 英文 牌 路标 冷气 花房 屏幕 英文 底层 体力,不错 凉快
joanne08H2021,5.0,园区大，环境好，适合一家大小过来,新加坡,22/04/2023,Botanic Garden,园区大环境好适合一家大小过来,园区 环境 适合 一家 大小,适合,园区 环境,
118****563,3.3,其实新加坡植物园是免费的，这里就是一个国家兰花园，里面转一圈的话大概半个多小时，花的品种还可以，性价比一般。,泰国,09/05/2023,Botanic Garden,其实新加坡植物园是免费的这里就是一个国家兰花园里面转一圈的话大概半个多小时花的品种还可以性价比一般。,新加坡 植物园 免费 国家 兰 花园 转 一圈 大概 半个 小时 花 品种 性价比,免费 转 花,新加坡 植物园 国家 兰 花园 小时 品种 性价比,
匿名用户,5.0,这个时节去玩还不错。花穹的主题也是圣诞红和维京人。圣诞仙境很值得一看，也有很多游乐设施适合带小朋友玩。擎天树观景台在圣诞仙境内，所以只看到夜景，平时黄昏时去应该最好。,新加坡,18/12/2023,Garden by the bay,这个时节去玩还不错。花穹的主题也是圣诞红和维京人。圣诞仙境很值得一看也有很多游乐设施适合带小朋友玩。擎天树观景台在圣诞仙境内所以只看到夜景平时黄昏时去应该最好。,时节 玩 不错 花穹 主题 圣诞红 维京 圣诞 仙境 值得一看 很多 游乐 设施 适合 带 小朋友 玩 擎天 树 观景台 圣诞 仙 境内 夜景 平时 黄昏,玩 适合 带 玩 树,时节 花穹 主题 圣诞红 维京 仙境 游乐 设施 小朋友 擎天 观景台 仙 夜景,不错
M29****8322,5.0,提前买了迷雾森林和花穹的门票，综合来说迷雾森林更有氛围再加上阿凡达特效景观加持，整体感觉比花穹好看。花穹我们过去时天已经黑了，很多植物观看效果不是特别理想，但是花穹里面有中秋节主题灯光展览所以也还不错。 两个花园看完大约需要2小时，出来后，去超级树下准备看7点45分的灯光秀。可能因为中秋节，这里人非常多，中国游客能占据一半左右。7点45分超级树灯光秀准时开始，特别应景的播放了多首中文中秋歌曲，现场氛围非常热烈。灯光秀很震撼，持续15分钟左右后散场。超级树灯光秀每晚7点45和8点45两场，注意不要错过，值得一看，关键是免费的。,吉林,06/10/2023,Garden by the bay,提前买了迷雾森林和花穹的门票综合来说迷雾森林更有氛围再加上阿凡达特效景观加持整体感觉比花穹好看。花穹我们过去时天已经黑了很多植物观看效果不是特别理想但是花穹里面有中秋节主题灯光展览所以也还不错。 两个花园看完大约需要小时出来后去超级树下准备看点分的灯光秀。可能因为中秋节这里人非常多中国游客能占据一半左右。点分超级树灯光秀准时开始特别应景的播放了多首中文中秋歌曲现场氛围非常热烈。灯光秀很震撼持续分钟左右后散场。超级树灯光秀每晚点和点两场注意不要错过值得一看关键是免费的。,提前 买 迷雾 森林 花穹 门票 综合 迷雾 森林 氛围 加上 阿凡达 特效 景观 加持 整体 感觉 花穹 好看 花穹 时天 黑 很多 植物 观看 效果 特别 理想 花穹 中秋节 主题 灯光 展览 不错   两个 花园 完 小时 超级 树 看点 灯光 秀 中秋节 中国 游客 占据 一半左右 超级 树 灯光 秀 准时 特别 应景 播放 多首 中文 中秋 歌曲 现场 氛围 热烈 灯光 秀 震撼 持续 分钟 散场 超级 树 灯光 秀 每晚 两场 错过 值得一看 关键 免费,提前 买 综合 加上 加持 好看 观看 展览 完 树 占据 树 准时 播放 震撼 持续 树 错过 免费,迷雾 森林 花穹 门票 迷雾 森林 氛围 阿凡达 景观 整体 感觉 花穹 花穹 时天 植物 效果 理想 花穹 主题 灯光 花园 小时 看点 灯光 中国 游客 灯光 应景 中文 歌曲 现场 氛围 灯光 散场 灯光 关键,特效 黑 不错 秀 秀 热烈 秀 秀
暖暖麻麻丫,5.0,很美，就在金沙旁边，值得一去。我们去的那天下大雨，但是两个场馆都在室内，丝毫不受天气影响。里面的设置精致有趣，孩子大人都很喜欢。 室内冷气大，去的时候记得带外衣,云南,21/12/2023,Garden by the bay,很美就在金沙旁边值得一去。我们去的那天下大雨但是两个场馆都在室内丝毫不受天气影响。里面的设置精致有趣孩子大人都很喜欢。 室内冷气大去的时候记得带外衣,很美 金沙 旁边 值得 天下 大雨 两个 场馆 室内 丝毫 受 天气 影响 设置 精致 有趣 孩子 大人 喜欢   室内 冷气 记得 带 外衣,值得 受 影响 设置 喜欢 记得 带,金沙 大雨 场馆 天气 孩子 大人 冷气 外衣,很美 精致 有趣
阿尔施维尔吴王僚,5.0,滨海湾花园是新加坡最著名的景点之一，在鱼尾狮公园的对面。不仅有金沙酒店，还有花穹、擎天树几个独立的景点。花穹里面就是热带雨林风貌的植物园，擎天树可以乘电梯上去。注意这几个地方彼此间要走一段路。,辽宁,26/01/2024,Garden by the bay,滨海湾花园是新加坡最著名的景点之一在鱼尾狮公园的对面。不仅有金沙酒店还有花穹擎天树几个独立的景点。花穹里面就是热带雨林风貌的植物园擎天树可以乘电梯上去。注意这几个地方彼此间要走一段路。,滨海湾 花园 新加坡 著名 景点 鱼尾狮公园 对面 金沙 酒店 花穹 擎天 树 几个 独立 景点 花穹 热带雨林 风貌 植物园 擎天 树 电梯 几个 地方 彼此间 走 一段路,树 独立 树 走,滨海湾 花园 新加坡 景点 鱼尾狮公园 对面 金沙 酒店 花穹 擎天 景点 花穹 热带雨林 风貌 植物园 擎天 电梯 地方,著名
handsupppppp,3.7,云雾林值得一去，花穹里就是各种花，后悔没有买擎天树观景台！买之前也没有仔细了解，导致浪费了门票。9:00左右就不给进了，要去的朋友抓紧买票哦,山西,06/02/2024,Garden by the bay,云雾林值得一去花穹里就是各种花后悔没有买擎天树观景台。买之前也没有仔细了解导致浪费了门票。左右就不给进了要去的朋友抓紧买票哦,云雾 林 值得 一去 花穹 里 花 后悔 买 擎天 树 观景台 买 仔细 导致 浪费 门票 给进 要去 朋友 抓紧 买票,值得 花 后悔 买 树 买 导致 给进 要去 抓紧,云雾 林 花穹 擎天 观景台 浪费 门票 朋友 买票,仔细
匿名用户,5.0,观景台超棒！是滨海湾花园周边最高的建筑，可以看到大海，也可以看到金沙酒店，确实挺不错的，但是要注意观景台是观景台，skyway是skyway，不要买错票或者排错队了。花穹在云雾林旁边，是室内的项目，有多种花卉可以观赏，而且场馆内很凉快，确实挺不错的。,上海,31/01/2024,Garden by the bay,观景台超棒。是滨海湾花园周边最高的建筑可以看到大海也可以看到金沙酒店确实挺不错的但是要注意观景台是观景台skyway是skyway不要买错票或者排错队了。花穹在云雾林旁边是室内的项目有多种花卉可以观赏而且场馆内很凉快确实挺不错的。,观景台 超棒 滨海湾 花园 周边 建筑 大海 金沙 酒店 确实 挺不错 观景台 观景台 skyway skyway 买 错票 排错 队 花穹 云雾 林 旁边 室内 项目 多种 花卉 观赏 场馆 凉快 确实 挺不错,买 排错 观赏,观景台 超棒 滨海湾 花园 建筑 大海 金沙 酒店 观景台 观景台 错票 队 花穹 云雾 林 项目 花卉 场馆,确实 凉快 确实
夢回彡,4.7,在一个巨大的温室中，生活着成百上千种热带特有的花卉与绿植，云雾林中间有一个巨大的绿植高塔，并且有一个很大的瀑布，进入后跟随路线一路向上边走边参观，再坐电梯前往塔顶，沿着空中栈步道欣赏整个花穹，极为壮观。,新加坡,15/01/2024,Garden by the bay,在一个巨大的温室中生活着成百上千种热带特有的花卉与绿植云雾林中间有一个巨大的绿植高塔并且有一个很大的瀑布进入后跟随路线一路向上边走边参观再坐电梯前往塔顶沿着空中栈步道欣赏整个花穹极为壮观。,温室 生活 成百上千 种 热带 特有 花卉 绿 植 云雾 林 绿植 高塔 很大 瀑布 跟随 路线 一路 上边 走 参观 坐电梯 前往 塔顶 空中 栈步道 欣赏 花穹 极为 壮观,生活 跟随 走 欣赏,温室 热带 花卉 植 云雾 林 绿植 高塔 瀑布 路线 参观 坐电梯 塔顶 栈步道 花穹,绿 很大 壮观
syrh,5.0,这是新加坡之旅最惊喜的，也是最惊艳的一个景点了，尤其是云雾林里面，《阿凡达》的主题非常引人入胜，给人非常好的体验!里边的馆非常大，关键是最难得的全程有空调，真是舍得投资的一个旅游项目，非常值得一去!,内蒙古,03/01/2024,Garden by the bay,这是新加坡之旅最惊喜的也是最惊艳的一个景点了尤其是云雾林里面阿凡达的主题非常引人入胜给人非常好的体验。里边的馆非常大关键是最难得的全程有空调真是舍得投资的一个旅游项目非常值得一去。,新加坡 旅 惊喜 惊艳 景点 云雾 林 阿凡达 主题 引人入胜 体验 里边 馆 关键 难得 全程 空调 舍得 投资 旅游 项目 值得,舍得 投资 旅游 值得,新加坡 旅 景点 云雾 林 阿凡达 主题 体验 馆 关键 全程 空调 项目,惊喜 惊艳
