username,rating,content,ip_address,time
匿名用户,5.0,这个时节去玩还不错。花穹的主题也是圣诞红和维京人。圣诞仙境很值得一看，也有很多游乐设施适合带小朋友玩。擎天树观景台在圣诞仙境内，所以只看到夜景，平时黄昏时去应该最好。,新加坡,18/12/2023
M29****8322,5.0,提前买了迷雾森林和花穹的门票，综合来说迷雾森林更有氛围再加上阿凡达特效景观加持，整体感觉比花穹好看。花穹我们过去时天已经黑了，很多植物观看效果不是特别理想，但是花穹里面有中秋节主题灯光展览所以也还不错。 两个花园看完大约需要2小时，出来后，去超级树下准备看7点45分的灯光秀。可能因为中秋节，这里人非常多，中国游客能占据一半左右。7点45分超级树灯光秀准时开始，特别应景的播放了多首中文中秋歌曲，现场氛围非常热烈。灯光秀很震撼，持续15分钟左右后散场。超级树灯光秀每晚7点45和8点45两场，注意不要错过，值得一看，关键是免费的。,吉林,06/10/2023
暖暖麻麻丫,5.0,很美，就在金沙旁边，值得一去。我们去的那天下大雨，但是两个场馆都在室内，丝毫不受天气影响。里面的设置精致有趣，孩子大人都很喜欢。 室内冷气大，去的时候记得带外衣,云南,21/12/2023
阿尔施维尔吴王僚,5.0,滨海湾花园是新加坡最著名的景点之一，在鱼尾狮公园的对面。不仅有金沙酒店，还有花穹、擎天树几个独立的景点。花穹里面就是热带雨林风貌的植物园，擎天树可以乘电梯上去。注意这几个地方彼此间要走一段路。,辽宁,26/01/2024
handsupppppp,3.7,云雾林值得一去，花穹里就是各种花，后悔没有买擎天树观景台！买之前也没有仔细了解，导致浪费了门票。9:00左右就不给进了，要去的朋友抓紧买票哦,山西,06/02/2024
匿名用户,5.0,观景台超棒！是滨海湾花园周边最高的建筑，可以看到大海，也可以看到金沙酒店，确实挺不错的，但是要注意观景台是观景台，skyway是skyway，不要买错票或者排错队了。花穹在云雾林旁边，是室内的项目，有多种花卉可以观赏，而且场馆内很凉快，确实挺不错的。,上海,31/01/2024
夢回彡,4.7,在一个巨大的温室中，生活着成百上千种热带特有的花卉与绿植，云雾林中间有一个巨大的绿植高塔，并且有一个很大的瀑布，进入后跟随路线一路向上边走边参观，再坐电梯前往塔顶，沿着空中栈步道欣赏整个花穹，极为壮观。,新加坡,15/01/2024
syrh,5.0,这是新加坡之旅最惊喜的，也是最惊艳的一个景点了，尤其是云雾林里面，《阿凡达》的主题非常引人入胜，给人非常好的体验!里边的馆非常大，关键是最难得的全程有空调，真是舍得投资的一个旅游项目，非常值得一去!,内蒙古,03/01/2024
悠莜琦琦,5.0,花穹是矮的那个，就是个大玻璃花房。游客基本都是冲着云雾林去的，如果不是联票，估计很少人会专门去花穹￼但如果对植物造景没有特别喜爱也可以两个都不看，比如我家小直男就基本没兴趣,浙江,08/01/2024
M23****6317,5.0,植物很多 空气非常好 很适合去跑步 哈哈哈哈阿凡达感十足。推荐去看哦。在携程上订比在现场更便宜一些。推荐游玩时间两个小时。交通比较方便,重庆,04/02/2024
leslieboy,5.0,声临其境，仿佛进入了爱丽丝梦游仙境，实在太美了！很多很多没有看到过的花花草草，引人入胜，是一个拍照出片的好地方，空气也很新鲜！,浙江,18/02/2024
悠莜琦琦,5.0,擎天树丛（Supertree Grove） 位于花园正中央最醒目的标志物，你可以漫步在高约22米的华侨银行空中走道（OCBC Skyway），俯瞰滨海南花园的全景。夜幕降临，还可以在树丛下观赏绚丽多彩的“花园狂想曲”灯光秀！,浙江,23/12/2023
匿名用户,5.0,植物冷室 花穹（Flower Dome） &amp; 云雾林（Cloud Forest） 两大植物冷室模拟了热带山地地区凉爽潮湿的气候、地中海亚热带地区及半干旱亚热带地区凉爽干燥的气候，展示了来自全球各个洲（南极洲除外）的10万种植物。,浙江,23/12/2023
悠莜琦琦,5.0,新加坡滨海湾花园（Gardens by the Bay）是一座市中心的超级花园，这里汇集了世界各地的特色植物和花卉，目前我们的游览体验主要是集中在滨海南花园进行。 由英国园林建筑公司Grant Associates设计的滨海南花园，是滨海湾三座花园中最大的一座。,浙江,23/12/2023
圆圆,5.0,来新加坡必打卡之地！虽然是人造景观不过里面的花花草草很是值得一看，阿凡达的制作惟妙惟肖👍仿佛置身于一个神奇的世界。,河北,29/12/2023
全幼儿园最聪明,5.0,这个目的地绝对是旅行者的天堂！美丽的风景和丰富的文化让人流连忘返。” •“这次旅行真是太棒了！遇见了独特的风土人情，收获了难以忘怀的回忆。”,广西,06/02/2024
_WeCh****827009,5.0,好美呀，一定要去滨海湾逛逛，吹吹夜晚的风，心情好极了，也要去看超级树，美轮美奂啊,福建,31/01/2024
悠莜琦琦,5.0,滨海南花园还有仙人掌绿亭（Sun Pavilion）、峡谷园（The Canyon）、蜻蜓湖和翠鸟湖（Dragonfly and Kingfisher Lakes） 来到这里，大家不妨花上一天时间，在这里闲庭漫步，将“花园城市”的美景尽收眼帘。,浙江,23/12/2023
匿名用户,5.0,很美，但一定要提前计划，大概下午四五点去拍照好看，我们晚上去天黑拍照不好看，景色也看不太清，super tree的音乐也是很赞的，可惜我们去晚了，什么都是赶赶的，没有办法好好享受，出租车不贵，如果没有叫车软件，就去排队坐blue and yellow的车，礼宾部和出租车司机告诉我们的，对师傅的约束会很多，很安全价格合理,海南,18/12/2023
M36****023,5.0,参天大树，非常壮观，更适合傍晚去，逛一圈正好可以看。花穹很一般，除非对花卉非常有研究。云雾林可以去看看，阿凡达主题设计，那么多花花草草，但没有蚊虫，也是一大奇迹。晚上的灯光秀很好看，大家都躺在地上看，大家也都很有素质，没有哄抢占位。,上海,08/12/2023
M46****3293,5.0,奇幻花园超级好看，各种奇花异草搭配到一起如梦如画。正好碰到有人在这里拍婚纱照，想来照片一定很好看。整个花园不大，但是有各种花做的造型，都拍下来也要一些时间。奇幻花园位于滨海湾花园的中间位置，靠近金沙，外观不怎么起眼，里面别有洞天。强烈推荐！,北京,23/11/2023
M46****3293,5.0,超美的室内植物园，一定要去啊。花穹里面主要是各样的花花草草和用花做的雕塑造型，很有趣。云雾林里面主要是一个阿凡达体验，有很多场景再现，逼真的雕塑，还有不少互动游戏很有意思。进到云雾林首先坐电梯到顶端，然后漫步下来，穿梭在云雾之间，身边都是一些奇花异草，仿佛置身于潘多拉星球。整体走下来很轻松，走走停停很适合拍照。,北京,20/11/2023
M29****8322,5.0,提前买了迷雾森林和花穹的门票，门口直接扫码进场，综合来说迷雾森林更有氛围再加上阿凡达特效景观加持，整体感觉比花穹好看。花穹我们过去时天已经黑了，很多植物观看效果不是特别理想，但是花穹里面有中秋节主题灯光展览所以也还不错。 两个花园看完大约需要2小时，出来后，去超级树下准备看7点45分的灯光秀。可能因为中秋节，这里人非常多，中国游客能占据一半左右。7点45分超级树灯光秀准时开始，特别应景的播放了多首中文中秋歌曲，现场氛围非常热烈。灯光秀很震撼，持续15分钟左右后散场。超级树灯光秀每晚7点45和8点45两场，注意不要错过，值得一看，关键是免费的。,吉林,06/10/2023
念念666,5.0,寒假带家里老人小孩一起来，人不算很多，但是很不错。里面挺凉快，景色不错。,浙江,11/02/2024
匿名用户,5.0,滨海湾花园非常大，不知道是不是锻炼少的缘故，走起来还是比较累的，里面有游览车，感觉又不划算。太阳比较晒，汗流浃背！奇幻里面有空调，冷气足，还是不是舒服。,浙江,23/12/2023
匿名用户,5.0,奇幻花园(Floral Fantasy) 占地1500平方米，由四个风格各异的主题花园构成，花园内还设有4D观影厅。在这里，将能获得视觉、听觉、嗅觉和触觉上的四重享受，开启一段奇幻探索之旅。,浙江,23/12/2023
心善渊旅游达人,0.0,新加坡滨海湾花园（Gardens by the Bay）是新加坡滨海湾项目的组成部分之一，由滨海南花园、滨海东花园和滨海中花园三个风格各异的水岸花园连接而成。整个花园占地101公顷，位于滨海湾亲水黄金位置。,安徽,18/10/2023
匿名用户,3.7,都说新加坡是花园城市，那滨海湾公园是必须打卡的项目啦，总得来说还可以，去的时候是新加坡的雨季，天空没那么蓝，所以看上去没那么震撼。,广东,21/12/2023
136****6962,5.0,环境极美，人也很多，晚上更好看，花园里管理的很好，路标很清楚，点赞！,上海,05/01/2024
小郝5202,5.0,非常值得去，特别漂亮，绿油油各种植物很是养眼呀,黑龙江,14/02/2024
starrynight_cn,5.0,价格低廉 非常超值。电梯乘坐到顶楼，风轻轻的吹拂过来。感觉非常舒适。而且价格非常便宜。上面可以看到金沙酒店。四面环绕的都是风景,中国香港,25/01/2024
悠莜琦琦,5.0,新加坡滨海湾花园，有一个儿童玩水乐园far east organization children&#39;s garden，周末遛娃的好地方,浙江,23/12/2023
北京右下角,5.0,非常漂亮的地方，里面两个收费花园很有特色，白天和晚上是不同的风景，票价不贵，外边环境优雅，免费大花园也很有意境 都是打卡点。,北京,15/02/2024
匿名用户,4.3,云雾林属于自然与科技的结合，如果你好奇火星殖民地应该长什么样，那就值得一览。海洋馆属于绿色的天空，鱼儿在上面俯视玻璃罐中的你，感觉也不错。和国内比胜在热带鱼多，还有蝠鲼够“敬业”，不用人教，不用训练也够搞笑。当然海洋动物保育也很专业。PS：推荐购买5选2票,新加坡,10/02/2024
starrynight_cn,5.0,花穹还可以，擎天树乘电梯上去后，平台上感觉很舒适，最上层是室外的、尽量不要下雨的时候去。什么可以看到金沙酒店，离得非常近,中国香港,27/01/2024
