ticket_name,price,currency,ticket_count,revenue,more_info
Child Ticket,26,SGD,2,52,Gardens by the Bay Flower Dome + Supertree Observatory Ticket + Outdoor Audio Tour (English Tour) Child Ticket (International Tourists) - English Guide
Adult Ticket,44,SGD,12,528,Gardens by the Bay Flower Dome + Supertree Observatory Ticket + Outdoor Audio Tour (English Tour) Adult Ticket (International Tourists) - English Guide
Family Ticket (1 Adult + 1 Child),32,SGD,4,128,Gardens by the Bay Floral Fantasy Ticket Family Ticket (1 Adult + 1 Child)
Family Ticket (2 Adults + 1 Child),52,SGD,12,624,Gardens by the Bay Floral Fantasy Ticket Family Ticket (2 Adults + 1 Child)
Adult Ticket,12,SGD,234,2808,Gardens by the Bay Floral Fantasy Ticket Adult Ticket (Singapore Residents)
Adult Ticket,20,SGD,2156,43120,Gardens by the Bay Floral Fantasy Ticket Adult Ticket (Non-Singapore Residents)
Child Ticket,8,SGD,13,104,Gardens by the Bay Floral Fantasy Ticket Child Ticket (Singapore Residents)
Child Ticket,12,SGD,363,4356,Gardens by the Bay Floral Fantasy Ticket Child Ticket (Non-Singapore Residents)
Family Ticket (2 Adults + 1 Child),85,SGD,842,71570,Gardens by the Bay Cloud Forest + Flower Dome Ticket Family Ticket (2 Adults + 1 Child)
Adult Ticket,20,SGD,279,5580,Gardens by the Bay Cloud Forest + Flower Dome Ticket Adult Ticket (Singapore Residents)
Child Ticket,12,SGD,38,456,Gardens by the Bay Cloud Forest + Flower Dome Ticket Child Ticket (Singapore Residents)
Family Ticket (1 Adult + 1 Child),53,SGD,374,19822,Gardens by the Bay Cloud Forest + Flower Dome Ticket Family Ticket (1 Adult + 1 Child)
Adult Ticket,32,SGD,18208,582656,Gardens by the Bay Cloud Forest + Flower Dome Ticket Adult Ticket (Non-Singapore Residents)
Child Ticket,21,SGD,3925,82425,Gardens by the Bay Cloud Forest + Flower Dome Ticket Child Ticket (Non-Singapore Residents)
Senior Ticket,32,SGD,1454,46528,Gardens by the Bay Cloud Forest + Flower Dome Ticket Senior Ticket (Non-Singapore Residents)
Adult Ticket,20,SGD,80,1600,Gardens by the Bay Flower Dome + Supertree Observatory Ticket Adult Ticket (Singapore Residents)
Adult Ticket,34,SGD,2379,80886,Gardens by the Bay Flower Dome + Supertree Observatory Ticket Adult Ticket (Non-Singapore Residents)
Child Ticket,12,SGD,9,108,Gardens by the Bay Flower Dome + Supertree Observatory Ticket Child Ticket (Singapore Residents)
Child Ticket,21,SGD,470,9870,Gardens by the Bay Flower Dome + Supertree Observatory Ticket Child Ticket (Non-Singapore Residents)
Adult Ticket,89.7,SGD,126,11214,Marina Bay Pass Adult Ticket-Choose four attractions
Adult Ticket,76.5,SGD,194,14744,Marina Bay Pass Adult Ticket-Choose three attractions
Adult Ticket,99.1,SGD,96,9504,Marina Bay Pass Adult Ticket-Choose five attractions
Child Ticket,75.2,SGD,20,1500,Marina Bay Pass Child Ticket-Choose five attractions
Child Ticket,58.6,SGD,59,3422,Marina Bay Pass Child Ticket-Choose three attractions
Child Ticket,70.4,SGD,44,3080,Marina Bay Pass Child Ticket-Choose four attractions
Adult Ticket,51,SGD,58,2958,Gardens by the Bay double venue ticket + Singapore Cable Car Ticket Adult Ticket
Child Ticket,32,SGD,9,288,Gardens by the Bay double venue ticket + Singapore Cable Car Ticket Child Ticket
Adult Ticket,62,SGD,869,53878,Gardens by the Bay Flower Dome + Cloud Forest Ticket + 滨海湾金沙空中花园观景台门票 Adult Ticket - Enter before 16:00
Child Ticket,45,SGD,176,7920,Gardens by the Bay Flower Dome + Cloud Forest Ticket + 滨海湾金沙空中花园观景台门票 Child Ticket - Enter before 16:00
Adult Ticket,92,SGD,135,12420,滨海湾金沙空中花园观景台门票 + Gardens by the Bay Tickets + ArtScience Museum Admission Ticket Adult Ticket
Child Ticket,70,SGD,54,3780,滨海湾金沙空中花园观景台门票 + Gardens by the Bay Tickets + ArtScience Museum Admission Ticket Child Ticket
Adult Ticket,115,SGD,163,18745,Gardens by the Bay Flower Dome + Cloud Forest Ticket + Universal Studios Singapore Ticket Adult Ticket
Child Ticket,83,SGD,19,1577,Gardens by the Bay Flower Dome + Cloud Forest Ticket + Universal Studios Singapore Ticket Child Ticket
Adult Ticket,72,SGD,377,27144,Gardens by the Bay Flower Dome + Cloud Forest Ticket + Singapore Flyer Ticket (With Time Capsule Experience) Adult Ticket
Child Ticket,46,SGD,118,5428,Gardens by the Bay Flower Dome + Cloud Forest Ticket + Singapore Flyer Ticket (With Time Capsule Experience) Child Ticket
Adult Ticket,74,SGD,47,3478,Singapore Flyer with Time Capsule + Gardens by the Bay (Flower Dome + Supertree Observatory) Adult Ticket
Child Ticket,46,SGD,20,920,Singapore Flyer with Time Capsule + Gardens by the Bay (Flower Dome + Supertree Observatory) Child Ticket
