username,rating,content,ip_address,time
心善渊旅游达人,0.0,滨海湾金沙是新加坡的一个标志性建筑，由三栋主楼组成，其中最高的楼是57层，另外还有6层地下室。这个建筑以其独特的外观和建筑设计而闻名，成为了新加坡的代表性地标之一。,安徽,18/10/2023
欢乐随喜,4.7,不管你是去新加坡旅游，还是过境新加坡，除了新加坡几处必去的景点外，滨海湾金沙酒店亦是个不能错过的地方。里面的各种造型，充满着现代艺术的感觉。,上海,08/08/2023
亚伦伊雪儿,5.0,酒店看码头,福建,25/01/2024
亚伦伊雪儿,5.0,酒店看码头,福建,25/01/2024
匿名用户,5.0,太热了～不过太值得了～景色不错哦,新加坡,04/09/2023
悠莜琦琦,4.0,滨海湾金沙酒店，完美的打卡地标，非常好看。位置绝对是好，站在顶楼俯下身看，还是很美的。有小船在海边，滨海湾花园在酒店后面，非常方便。建议玩两天。,浙江,27/10/2023
300****919,5.0,值得体验很美丽特别夜景，但是需要提早预定时间，否则在楼下等太久了,意大利,14/09/2023
320****045,3.7,晒死！ 记得带伞，防晒,江苏,23/11/2023
118****100,4.0,"金沙就不用多介绍了，新加坡地标之一。去新加坡自由行5天4晚都入住金沙，还要特别谢谢朋友,因为她，这次住金沙的价格美得不要不要的。 酒店一共三栋楼，入住第二栋第22层，去无边游泳池特别方便。 来说说房间，入住前听说房间在重新装修，房间很大，卫生间干湿分离，这里要说说他们家浴缸，那叫一个大；从房间能看到海景和滨海湾花园 重点来说说无边泳池，在57层出入都需要房卡，第一天没下水，就去感受一下气氛，建议早晚都要去，完全两种状态景色，从无边泳池能尽收新加坡美景。 另酒店楼下就有地铁，出入很方便，工作人员也都很热情。",N/A,01/08/2017
_WeCh****909052,4.3,是个景点区 估计到了新加坡都回去看看。 从酒店一直走过去的。 拿个伞比较好。 有人借自行车的 太阳太烈了。不过空气是真的好,泰国,07/08/2023
纽约小鸟,4.3,可以看到新加坡全景。,北京,25/09/2023
Ssssulivan,5.0,从鱼尾狮离开，我们沿着桥走。前往对面的金沙酒店。金沙酒店地下几层是商店，上面是住宿。金沙酒店最闻名的就是它的楼顶游泳池。这个游泳池就算不是住客也可以去的。开放时间是早上6：00-晚上23：00，如果是住客泳池免费，不是住客收费20新币。如果仅仅是去参观的话，早上10点和当天几个时间段都有导览讲解，感兴趣的朋友可以关注一下。 金沙酒店里面满布国际品牌，奢侈品比比皆是。,N/A,12/08/2016
_WeCh****909052,4.0,是个景点区 估计到了新加坡都回去看看。 从酒店一直走过去的。 拿个伞比较好,泰国,07/08/2023
sculptor,4.3,新加坡的滨海湾金沙是一个拥有 2561 间客房的综合度假村，这座综合体包括三座塔楼，顶部是一个连接着三座塔楼的空中花园，可容纳 3902 人，还有一个 150 米的无边游泳池。底楼是一个有 74000 平方米的滨海湾金沙购物中心，另外还有一个博物馆和一个大型剧院。,N/A,29/11/2021
一叶落而天下知秋,5.0,滨海湾金沙由建筑大师萨夫迪根据扑克牌的外形设计。这栋极具时代意义的建筑体，造型新颖独特。酒店内遍布众多出自名家之手的雕塑，是一间名副其实的艺术馆。夜空中最亮的树，光辉璀璨，极具特色。,N/A,27/10/2021
joanne08H2021,5.0,滨海湾金沙酒店很好，可以瞭望整个新加坡市区的风景。,新加坡,20/02/2023
MsSophieYan,4.0,滨海湾金沙酒店 10 Bayfront Avenue  金沙酒店几乎成为每一个去新加坡旅游的人住宿的首选，因其特别有感觉的无边泳池而闻名于世。接待的客人也不计其数，而且服务态度都不错，各方面都还是有很棒的体验！  酒店配备的服务人员大部分都会说中文，所有人都会说英文，所以完全不用担心语言交流问题。有任何问题都可以拨打客房服务，他们的态度还都很好！  我住的是园景房，因为之前在别的宾馆住过海景房了，感觉能看到滨海湾花园还是很不错的。阳台的窗帘是全自动的，只要进入房间，通电以后就会自动打开，然后阳台上有很多花花草草的非常大自然的感觉。抽屉里配备的都是TWG的茶包，要泡茶喝咖啡也很方便。我比较喜欢它们的浴室装扮，那个色调倒是有点特别的美感。还有就是电视柜下的毛巾装置，很可爱很讨人喜欢。,N/A,23/12/2018
探索大自然,5.0,滨海湾金沙，非常独特的建筑，由3栋主楼连接而出，外面看上去像一首船。新加坡的著名景点，吸引了一批批的来自世界各地的游客。,N/A,07/03/2021
SISISIY,5.0,由3栋大楼组成的大型hotel，高200米57层楼，顶楼是游泳池和观景台，可以俯瞰整个城市和南部海域,新加坡,11/10/2022
william0818,4.0,为了体验无边泳池，住过一晚金沙，酒店还不错，给升了级，又让提前入住的，还按照我预订邮件中的内容给布置了蜜月房，真的挺感动，不过对于2000一晚的价格，还是有点贵的。无边泳池不适合游泳，因为水浅，人又多，但是对我这种不会游泳的人更好，我可以现在无边泳池最远的位置拍照看风景。远看金沙酒店也很漂亮，夜景也很好看,N/A,08/12/2016
羊叔叔🐏,5.0,新加坡最有名的标志性景点，夜景一流，视野一流，拍照一流，酒店服务一流，楼下就是购物中心，喜欢买买买的更是不能错过。无边泳池超级赞！,N/A,05/08/2021
龙神皇陛下,4.7,新加坡最负盛名的旅游度假娱乐酒店，拥有网红无边泳池，购物，娱乐中心，价位不低。,N/A,09/05/2022
o0唱游,5.0,滨海湾金沙酒店位于金沙广场南侧，是世界上最昂贵的酒店。,海南,04/09/2022
D46****92,5.0,好的，非常棒,浙江,25/03/2023
sunnycccc,0.0,金沙金融区域有商业也有酒店的哦,N/A,06/05/2022
SISISIY,5.0,豪华美到爆了，房间很大又干净整洁舒适、风景太美啦，以后就想来度假⛱️,N/A,02/03/2021
安安琪琪,5.0,新加坡标志性建筑之一，尤其是楼顶无边泳池，很美,云南,28/10/2022
joyce1616,4.0,在新加坡的最后一晚住在金沙酒店，就是为了体验一下57楼的无边泳池，先前住在丽思卡尔顿，金沙与之相比，大堂人很多，很嘈杂，房间小了不说，设施也差，浴巾很糙，洗发沐浴产品很普通，服务也差，check in时一脸看不起的样子，也许是携程订的房间，开始只肯给4楼的面对滨海湾花园的房间，还说已经没房间了，要知道我是提早三个月就订的至尊房，据理力争才给了22楼面对滨海湾花园的，新加坡正好雾霾，据说要到明年一月才会有蓝天，所以57层还是等到晚上看夜景，走到酒吧观景台才觉得好，俯瞰整个滨海湾，真得很漂亮，不过前几日住在丽思卡尔顿每晚&amp;#165;1600也是正对整个滨海湾，天天躺在浴缸里就能看到无敌海景，性价比高得多！前三张照片是坐在泳池边拍的，后面几张是在57楼酒吧的阳台拍的，那里才能俯瞰，要不就是拿着相机到泳池里才拍得到。到酒吧拍照不用消费的！,N/A,04/11/2015
sunnycccc,0.0,滨海湾的金沙非常的高大上哦 酒店也很高级,N/A,23/05/2022
ROSE-VIOLET,5.0,独一无二的存在，灯光水舞秀也是超级棒啊,N/A,04/02/2022
小吥咯咯,0.0,金沙这里的建筑非常高大的 商场也很高档,N/A,01/06/2022
sunnycccc,0.0,金沙cbd这里都是高楼大厦 非常繁华,浙江,06/08/2022
sunnycccc,0.0,金沙这边商业气息很浓厚 游客也比较多,N/A,24/05/2022
sunnycccc,0.0,金沙cbd非常豪华 酒店商场都很不错,N/A,13/04/2022
小吥咯咯,0.0,滨海湾的金沙 那是超级的高档的😯,N/A,30/04/2022
小吥咯咯,0.0,滨海湾的金沙景色可是相当不错的呢,N/A,31/03/2022
sunnycccc,0.0,金沙这里的商业气息非常的浓厚哦,N/A,14/07/2022
小吥咯咯,0.0,金沙是这里的cbd哦 非常的繁华,N/A,29/06/2022
sunnycccc,0.0,金沙真的是非常的繁华哦 太高档了,N/A,30/04/2022
小吥咯咯,0.0,金沙里面又有商场y 也有高档酒店,N/A,19/04/2022
小吥咯咯,0.0,滨海湾金沙的环境非常的不错哟！,N/A,17/04/2022
小吥咯咯,0.0,金沙的环境很不错 非常现代化的,浙江,23/07/2022
sunnycccc,0.0,金沙这里非常的高大上哦 很繁华,N/A,05/05/2022
小吥咯咯,0.0,金沙汇集了商场 和酒店 很高大上,N/A,15/04/2022
sunnycccc,0.0,金沙这里非常豪华 酒店很高档的,N/A,09/04/2022
小吥咯咯,0.0,最繁华的cbd地段 非常的繁华,N/A,06/03/2022
ya****bs,4.0,坡国市中心的滨海湾花园与金沙酒店都是非常有特色的打卡地，设计造型别致，夜景也比较好看，值得去看看,重庆,08/01/2023
ROSE-VIOLET,5.0,新加坡的地标建筑之一，周边大片的绿地，人们可以在夜幕降临时，习习晚风中，看着滨海湾金沙的夜景，音乐喷泉表演让这里变得更加摩登了。,N/A,06/08/2021
做一只自由自在的飞鸟,5.0,新加坡的地标之一，也可以说是新加坡最繁华的地区，设计规划非常整洁美丽，夜景尤为绚丽。著名的金沙酒店、滨海湾花园、鱼尾狮公园、大榴莲、飞行者摩天轮等都分布在这一带。,N/A,31/10/2017
ALEXXXXXXS,5.0,酒店客流量很多，大多外国人，小贝也住过哦，很多明星住过。只对客人开放的无边泳池真的很棒，看看夜景，游泳，喝东西，嚯嚯。另外，酒店的服务很好，有送水果，巧克力，早上还有报纸，真的是超级好的服务。购物广场品牌齐全，款式也很全，而且都可以退税。,N/A,04/11/2015
SISISIY,5.0,喜欢这里的美食还有游泳池，躺在沙发床上可以吹着风看着天空，享受一个下午的时光，或者等到夜幕降临看夜景数星星哦,N/A,26/01/2022
shenyuanyinjie,5.0,最著名的就是那个无边泳池啦，不过由于没有住在金沙酒店，所以也只能远远的看一下无边泳池啊，不能进去感受，晚上的金沙酒店比白天更好看，好奇特的建筑,N/A,14/11/2015
232****223,4.7,感觉新加坡旅行除了一天圣淘沙，另一天安排住金沙足以，当然提早出发机场逛机场也是妥妥的～基本所有新加坡的景点都在它附近能看到或者就在它里面,N/A,13/11/2015
300****109,4.0,新加坡旅游景点之一，景色宜人美不胜收。,N/A,02/07/2022
ValeriaFeng,4.7,主要是为了那个游泳池去的，性价比很高，酒店管理的很好，一共3座楼，每一栋楼有分几层到几层的电梯，离花园很近，晚上还有灯光show，但是酒店内很多人不会讲中文，阳台超大，还有酒店的早餐很好，值得一去,N/A,19/07/2016
M41****185,5.0,一次网络上的失误，令我们住上Vip会员才能住的房间。金沙共有57层，我们就住50楼，房里有独立卡拉ok房，健身房，美容室，厨房，两间卧室，卧室里有衣帽间，梳妆台。洗手间有一个大浴缸。好正,N/A,10/07/2016
海苔猪仔妹,5.0,我再去就三天住金沙哪也不去了，顶层游完泳或者泡完温水池躺在棕榈树（是吧）下的躺椅上，感受星星点点的阳光暖洋洋的照在身上，专治各种老寒腿哈哈。饿了可以在上面吃点小吃喝啤酒，但要想放开吃还是去金沙地下几层的食阁吧，肉骨茶，海南鸡饭，云吞，牛肉面都还可以,N/A,14/07/2017
渭南松赞干布,5.0,滨海湾金沙位于新加坡滨海湾区，是新加坡最最商业繁华的地区，海湾夜景十分漂亮，环绕海湾摩天大楼林立，众多跨国银行及大公司驻扎于此，金沙酒店独领风骚，由三座酒店大楼组成，位于第 57 楼的金沙空中花园将三座大楼连为一体，可以360度全角俯瞰新加坡，海滨周末整点有音乐灯光秀表演，灯光随音乐喷薄四射，炫耀整个海湾夜空。,N/A,27/01/2021
pxy0705,5.0,滨海湾金沙购物中心是新加坡一处大型的购物商场，它就位于金沙大酒店的下方。整个商场的面积真的是超级的大。地下一层还有一条仿制威尼斯的运河。这里大牌商品云集，还有许多新加坡美食餐厅。绝对是新加坡购娱住食一体的大型商场千万要来逛一逛。,N/A,04/12/2019
Wqqq婍,5.0,去新加坡旅游 滨海湾是一定要来走一走的 这次过来特意定了一晚金沙的住宿 就为了无边游泳池 为了从另一个角度看新加坡的美景  金沙酒店的房间也超级多 来多少个旅行团感觉都容得下 下午2点开始check in 第二天早上11点前就要退房 这一点有点坑爹 不过也没办法 谁叫客人真的多  自助晚餐信价比不错 去的时候刚好微信有优惠券 可以打折 算下来一人300左右 东西都很新鲜 品种多 服务好   无边游泳池view超棒 不过晚上下水饺 没意思 人太多 建议早上看日出的时候去 人少风景更好 早上6点开始 晚上好像11点结束  金沙整个游览区建议安排整整一天 因为可以逛的地方非常多 喜欢风景的去滨海湾花园 喜欢逛街的底下有商场 从地铁滨海湾站直接可以到酒店大堂 然后就一整天在酒店跑都跑不完   除了无边游泳池必须是住客可以去之外 其他对外开放 毕竟一晚价钱还是非常贵的,N/A,27/08/2016
小月亮弯弯,5.0,我们住的应该是升级的豪华景观房，有一个大的阳台，可以俯瞰整个滨海花园，房内的设施就不说了，入住体验绝对让你舒适惬意。还有一定要去Mark的无边泳池，简直太棒，随便一拍都成美景！！,N/A,21/11/2017
星海湾北,5.0,滨海湾金沙是新加坡最有人气的商业综合体之一，紧邻新加坡的中央商务区，集购物中心、酒店、展览中心、美食城、大型地标酒店于一体。,N/A,11/06/2021
木偶奇遇ce,5.0,滨海湾金沙是新加坡的新地标，一个知名的购物中心，大牌云集，还有来自各国的美食，有六星级的酒店，有无边际泳池，空中花园也藏身在此，可以俯瞰整个滨海湾的全景，晚上还有灯光秀，音乐、水幕场景，各种灯光变幻，都是光彩炫目，而且和鱼尾狮公园，摩天轮隔岸向往，景色美翻了。,N/A,16/03/2020
当地向导心花放,4.3,这个附近有摩天轮玻璃桥和一个后花园。也是新加坡徒步路线之一。要不是同伴说她坐过了南昌这个世界最大的摩天轮(其实新加坡的比南昌的还要大点)，我就能坐一下的。因为刚在环球影城出来已经非常疲惫了，所以没怎么走到，只是都看看。,N/A,18/12/2016
一抹秋日暖阳CC,4.7,两次去新加坡，我从不同时间段、不同角度记录下的新加坡最著名酒店之一———金沙酒店！    滨海湾金沙酒店坐落于 Marina Bay 滨海湾，由三座连成一串的酒店大楼组成，去金沙蓝线坐到海湾坊更方便哦！,N/A,18/10/2017
BetTerDAY,5.0,一座城市，酒店能成为地标，本身就证明了它的地位和价值，在我有限的认知里，除了加拿大的魁北克城，只有新加坡能做到，金沙酒店真的是美,N/A,23/04/2020
圣日尔曼的某人,5.0,这是新加坡最热门的购物中心之一，大名鼎鼎的三栋楼，是我最喜欢的景色哈哈哈。不得不说新加坡真的很整洁，很有秩序，我们国家可以认真的学习一下，提升公民素质，讲秩序！然后每一处细节都要人性化！,N/A,27/01/2020
dlu808,5.0,酒店对着金沙，夜空下绽开了一朵金色的莲花。。早上起来去开会的路上，遇到这种不知名的花，还有登陆新加坡的摩拜共享单车，早上步行上班的收获还不错。,N/A,02/05/2020
BetTerDAY,5.0,金沙酒店是新加坡当之无愧的地标，和另一个尽人皆知的地标鱼尾狮隔江相望，金沙酒店的造型真的是太别致，感觉随时会开起来，里面的设施也是好的没话说,N/A,03/01/2020
考拉羊洋,5.0,又双叒叕来看烟花啦，今晚刚出炉绝对新鲜哟！NDP正式烟花秀之前最后一次Rehearsal，换个角度再欣赏一遍，依然美爆。这次是在Marina Bay Sands楼上Conference Hall的露台观看的，与鱼尾狮隔岸相望，新加坡的城市天际线尽收眼底。,N/A,03/08/2019
带着俩娃走天下,5.0,新加坡最著名的网红打卡，也是标志性的地标建筑。滨海湾金沙伫立在滨海湾之上。酒店顶层的滨海湾金沙空中花园以及无边泳池更是绝对的网红。,N/A,11/04/2020
_WeCh****66271,4.7,整个地方得很漂亮. 值得来走走逛逛. 可是酒店性价比不高. 四星半的酒店装修，六星级的价格.,N/A,27/11/2021
Eddies888,5.0,滨海湾酒店是新加坡最美的建筑物，每个旅客必访的综合度假村酒店。有很大的购物商场，各国品牌店和餐厅店。酒店大堂很大，在这里住了一晚，体验这里的服务和设施都无可挑剔的。,N/A,14/04/2016
格格,5.0,新加波的滨海湾金沙酒店是世界著名的酒店，在这个以旅游业著称的国家，金沙酒店吸引了大批的游客入住。从酒店可以俯瞰整个新加坡的城市美景，酒店外形是帆船造型，远远看去本身就是一道靓丽的景观，虽然酒店价格不菲，但是却是物有所值。,N/A,18/03/2020
M22****2711,5.0,价格很美丽，不过无边泳池和空中花园确实值得一去，俯瞰整个滨海湾的景色，遗憾的是住的那天晚上太累了，没有上去看夜景，只看了白天的景色。可能金沙的人实在是太多了，工作人员无法顾及，感觉服务一般，跟富丽墩酒店比起来差远了。酒店有天桥可以直通滨海湾花园，很方便。购物中心外面还可以看水舞秀，很漂亮。,N/A,09/11/2019
考拉羊洋,5.0,"KOMA Singapore是新晋的网红日本料理店，位于新加坡的金沙酒店商场内，门口一排大红色的鸟居像极了伏见稻荷大社，十分吸引眼球。之前一直路过，今天终于进来体验了一次这高颜值的日式美食。通过正门约20米的长廊，就来到吧台区，吧台内挂着一个2.5米高的巨大铜钟，横跨吧台和主用餐区，非常有气势。吧台后面就是用餐区，空间很大，还有一个日式的小桥架在餐厅内，超有代入感。食物方面是主厨的一些原创菜品为特色，包括前菜小食和主食，最后还有甜品和各种酒类。前菜类我们点了Wagyu Beef Tataki日式生牛肉冷盘，选用的牛肉非常鲜嫩，口感细滑十分开胃。Oysters on the half shell则是新鲜的生蚝，配上些许小萝卜泥，也是非常鲜美。寿司类的选择很多，Truffle Unagi的黑松露味很浓，搭配鳗鱼的甜香很是特别。Spicy Hamachi是脆皮葱寿司裹着芝麻子。还有Spicy Tuna、Lobster &amp;amp; Caviar等共十种选择。除了寿司，各种日式锅和炒饭也是餐厅的特色。Wagyu fried rice中的牛肉粒很嫩，入口即化，不过份量不算很大，性价比稍微低了一点。而几款日式和牛更是价格不菲，每份都超过200新，也是吓得我们立马转移目光。鸡尾酒里KOMA Canary和Sheares in Love是推荐，而甜品Jumbo Sesame profiterole份量倒是大的惊人，而且冰淇凌配上黑芝麻做的面包，口感非常棒。建议提前在官网预定座位，用餐当天餐厅也会打电话来确认预定人数和时间，可谓相当用心。店名：KOMA Singapore。地址：Marina Bay Sands, 2 Bayfront Ave, B1-67, 新加坡 018972。",N/A,09/09/2019
悠菲,5.0,坐地铁到滨海湾下，上来就是金沙，金沙第三楼在法拉利柜台兑换携程的票，然后直接走后面的步行道走进去到双馆（双馆大门在2个馆中间，要走一段路），怎么说呢，我觉得一般，可能不是很喜欢看绿植什么的，但是我们家小朋友还是喜欢的，用手机软件拍拍这个拍拍那个，跟爸爸讨论是什么花，我觉得如果你有足够的时间就去看看，如果没有就算，后来我累的直接天空树都没有走去看！,N/A,03/08/2019
Jason_日月星辰,5.0,补充云雾花园和supertree空中走廊上拍的照片，以及晚上在金沙酒店拍的超级树夜景。我们是白天去的滨海湾公园，顶着烈日排队上空中走廊，排了三波轮到我们，上去后吹着风真舒服；据说晚上在这里看夜景非常好，希望下次再来,N/A,03/05/2019
Jason_日月星辰,5.0,滨海花园很大，带着小朋友，时间又紧，所以就看了supertree grove，cloud forest，flower dome这三处景，后两个场馆有些冷，得穿长衣裤。不得不佩服设计师的想象力和创造力，时间充足的话，是个非常好的休闲选择，值得逛一逛。拍了好多照片，只可惜只能上传九张，在supertree上的空中走廊上拍的照片没法分享了,N/A,03/05/2019
小寒遇见春分,0.0,应该是新加坡最大最全的商业体了吧，晚上来尤其漂亮，金沙门口八点钟开始也有灯光秀，不过个人还是觉得圣淘沙的更有特色一些。这里有独特的海上LV旗舰店，晚上亮起灯来拍照很好看啊～ 金沙里面从一线奢侈品到亲民品牌应有尽有，来这边买东西进来了就不用再出去了基本想买啥都找得到。不过餐饮我觉得有点拖后腿了，实在没啥好吃的， 商场里面开的餐厅一看就又贵又没食欲，也懒得出去，最后选了鼎泰丰，算是相对出品比较稳定好吃的了,N/A,06/06/2018
你De总,4.3,金沙的夜景真的是没话说，泳池就不说了，人多的如同下饺子，没什么必要为了泳池多住一晚金沙酒店。上到顶楼还是有挺多方法的，一览群雄的感觉很不错。,N/A,11/08/2016
星海湾北,5.0,滨海湾金沙是新加坡填海造地的杰作之一，也是国际游客争相打卡的地标之一。,N/A,09/03/2021
悠悠星空,4.7,这里是新加坡的标志性建筑，楼房的设计非常独特，远远地看犹如一艘海中航行的大船，走近看里面尽是繁华，通过观景天桥可以穿过房子，看到植物园的神秘树，晚上也可以看灯光表演，景色如此美丽不虚此行啊。,N/A,17/08/2019
眼前的远方,5.0,几乎已经成了新加坡最赞的地标，不得不佩服新加坡人的创造力，金沙的帆船造型和顶层的无边泳池展现出新加坡时尚的魅力，和世界之都的气势,N/A,10/06/2017
独行的蜗牛🐌,5.0,地处新加坡滨海湾的金沙酒店是新加坡的地标性建筑，它以一艘船的造型而为世界所熟知，这里有舒适的酒店客房，也有著名的无边泳池，也有名为空中花园的消闲去处，是来新加坡游玩不可错过的地方之一。,N/A,13/04/2020
探索大自然,5.0,滨海湾金沙是新加坡的著名的景点打卡地标。建筑设计非常精致，由3栋楼链接一起组成，顶层还有空中花园，无边泳池，非常漂亮。晚上时灯光照射下金光闪闪。,N/A,04/01/2020
Cinderella Princess,4.0,金沙酒店住的人原来越多了，住豪华阁好点基本不用排队，如果你定的普通房，那个队伍太可怕了，check in一直排到酒店门口。很多人都是冲着酒店的无边泳池来。前几年的住的时候还好没那么多人，近两年听说有旅行团带人上去了，人太多像下饺子真的非常影响酒店给客人的整体影响。,N/A,04/01/2018
探索大自然,5.0,滨海湾金沙是新加坡的打卡旅游景点，到了新加坡，一定要来这里，否则你就不算来过新加坡，这是游客们对金沙的定律。外表设计非常漂亮，不得不赞叹。,N/A,06/02/2020
~_~??,5.0,这个是新加坡必打卡景点，在河流两岸景色别致，对岸是著名的金沙酒店，另侧岸上就是著名的鱼尾狮，永不停留的喷水。在这一带拍照留影的人很多，等到夜里8:00可以看到音乐喷泉灯光秀，美！,N/A,04/12/2019
鱼眼看天下,5.0,除了购物酒店，这里还有个博览中心，最近举行世界钱币展，24-26日，里面很多珍藏，值得一看，最特别的是有金币提款机，就像我们的现金提款机。,N/A,25/03/2017
龙神皇陛下,5.0,豪华五星级酒店，造型独具一格，顶楼无边游泳池知名度颇高。,N/A,28/01/2022
刘邦之胄,4.7,这里是新加坡著名的旅游区，这次出游时间比较充裕，分白天晚上两次过来游览的，夜景尤其美丽有国际大都市的气派，最标志性的建筑就是空中花园酒店了可惜这次没能上去。,N/A,01/11/2019
小吥咯咯,0.0,滨海湾金沙这边有酒店 有商场的哦,N/A,15/01/2022
探索大自然,5.0,"滨海湾金沙，是新加坡的5星级酒店，设计非常独特，创世界排名，由3栋楼链接在一起组成。里面吃的, 喝的, 衣食住行，样样有，非常有名。",N/A,29/01/2020
_WB5****214,4.7,夜景很美，晚上去海边走走很舒服。整个都金碧辉煌，有很多奢侈品牌，即使不买，也值得逛一逛，特别是lv旗舰店，非常漂亮。交通很方便，滨海坊地铁站就在酒店里，去哪里都很方便，后面就是滨海湾花园。,N/A,20/06/2017
小妞妞爸爸,5.0,金沙的确卖的是skypark，比起丽思卡尔顿的房间和景观还是逊色了一些！天不作美，新加坡每天都在下雨☔  ​​​哈哈哈你说这运气啊,N/A,12/01/2018
辉哥_,5.0,滨海湾金沙购物中心对出的广场平日八点和九点都会有免费的灯光和音乐水幕喷泉表演，在周五和周六晚上在10点还会加开一场哦。表演持续15分钟，吸引不少游客坐在台阶上观看。,N/A,17/02/2020
d_donne,5.0,金沙酒店的最顶层，海湾的美景一览无余，对面的鱼尾狮，脚下的海滨花园，居高临下看得清清楚楚。只可惜开放的只是3号楼的观景台，其他的是给住店客户使用的，但是已经很好了。,N/A,08/01/2020
星海湾北,5.0,新加坡建筑艺术和园林设计的精华之作。非常值得去走走逛逛吃吃喝喝玩玩乐乐。白天去滨海湾花园要注意防晒；晚上去可以欣赏灯光秀，差不多是每天晚上两场。,N/A,17/07/2019
漫野,5.0,无边泳池真的很炫，早晚各去一次，住的不高，但是可以看到公园，只可惜晚上下雨没体验到灯光秀。房间很大，在寸土寸金的狮城难能可贵,N/A,16/01/2018
