username,rating,content,ip_address,time
匿名用户,5.0,携程上比现场买便宜的，买完之后就预约进园时间，就是你的确认单上的两个码，依次填，先填长的，再填短的。在确认单右上角，不是二维码。如果坐地铁，到Bef Khatib Stn下车，下了地铁有动物园专车，Mandai Khatib Shuttle 公交站上车，车身全是动物，很好识别。大概10分钟一班，坐这个车比较方便。上车要刷卡，1新币，下车不用刷，小孩看司机吧，我们去的时候刷了，回来没让刷。这辆车有2个站，鸟类天堂是一站，其它三个动物园是一站 夜间动物园，河川动物园，还一个就是白天动物园。进了动物园，入口处记得预约下表演时间，确保能看到动物表演，表演时间段有三个，中午一个，下午两个。亚马孙探险坐船5新币一个人，大人小孩一个价，刷卡，不收现金。可以反复排队反复坐船观看。不要坐两个人的第一排，水会打湿衣服，可以坐三个人的第一排，音乐响起，有讲解时，你就看两边动物就可以了，岸边也有动物指示牌。还有里面熊猫馆旁边有个熊猫妈妈餐厅，价格还可以，小朋友这一份不到16新币，80多人民币。薯条分量很大，没吃完。这个动物园基本都是有顶的长廊，不热。大概就能想到这这么多了，希望能帮助到去玩的小伙伴。,江苏,31/07/2023
M40****629,5.0,非常惊艳的打卡地，之前看携程点评里很期待亚马逊游船，进去之后发现坡国真心对小朋友科普这块做的非常好，我们长江流域的中华鲟超大超养眼。适合带娃来一看究竟。携程出票迅速，大家需要官网预约哦。,广东,15/02/2024
夢回彡,4.7,合川生态园面积相对较小，但展台很多，物种丰富，而且中国租给新加坡的两只大熊猫就在河川生态园中，足以看出含金量。园区内可以超近距离观察到一些无攻击性的物种，包括很多热带特有物种，很推荐。,新加坡,15/01/2024
kyara,5.0,比起日间动物园，我更喜欢河川，全程顶棚不严热，各种鱼和鳄，龟。亚马孙漂流完全不吓人，就可惜路程短了点。熊猫馆堪称豪奢，馆内极其凉快。,上海,24/01/2024
北京右下角,5.0,挺好的一次项目 时间虽然不长 但可以学到不少知识，适合孩子玩，很不错的一次娱乐体验，适合带着小朋友来学习认识动物和植物，不少海洋生物也不错。,泰国,06/02/2024
悠莜琦琦,5.0,小动物表演免费，但是需要网上抢位置的，很不幸没抢到，说是可以开演前去门口等候补位。。因为当时正好在熊猫馆看叻叻抢妈妈竹子吃，也没赶过去。运气不好的小伙伴可以去试试。,浙江,06/01/2024
悠莜琦琦,5.0,首先我们要下载一个Mandai的APP，里面有所有的动物园地图演出时间，还有点餐等各种功能，园区内都能使用微信和支付宝支付也比较方便。,浙江,23/12/2023
我的520,5.0,非常棒，是值得去玩的地方，会推荐给朋友，小朋友也很满意，下次还会来，非常棒，是值得去玩的地方，会推荐给朋友，小朋友也很满意，下次还会来,浙江,23/12/2023
北京右下角,5.0,这里还不错，门票不贵但内容还算丰富，人不多可以慢慢看，当然大型动物比较少，整体而言还是很不错的，坐个小船也有特色比较适合带孩子来玩。,北京,14/02/2024
悠莜琦琦,5.0,左手边路线比较有记忆点的是：各种鳄鱼，中华鲟，娃娃鱼，扬子鳄。左侧终点是熊猫馆。然后过河右侧就是小动物表演和亚马逊漂流。最后有一个水族馆，里面有食人鱼、海牛（俗称美人鱼）,浙江,06/01/2024
追赶心中的诗和远方,5.0,俩只大熊猫，一只小熊猫，也算是值得一去了，不白跑，其他的坐船没体验，水下世界也很丰富的,新加坡,11/02/2024
北京右下角,5.0,挺好的一个地方，热带雨林的感觉，坐着小船游荡着穿越，只是历程有点简单，路有点短，所以坐了两圈，里面环境不错，傍晚去比较合适。,中国香港,09/02/2024
悠莜琦琦,5.0,漂流是付费项目，感觉坐小船河道两侧是小动物，感觉很好，票需要现场扫码网上买，有些麻烦。出票也快，随买随用，还是比较方便的。,浙江,06/01/2024
mi****uan,4.0,园区不大，环境一级棒，都是主打一个原生态。没有看到水豚有点小遗憾。这个船也非常平稳。亲子活动非常好。趣味性就比较平淡了。,新加坡,22/01/2024
M36****023,4.7,去的时候有些毛毛雨，天气不热，但是亚马逊漂流正在维修中，有些遗憾。玩一圈3小时左右，大多都是鱼，还是比较适合小朋友，熊猫还是值得看的。,上海,08/12/2023
d89****88,5.0,错峰出行，人少，可以细细看每个展厅！还看到了大熊猫，很近距离！而且里面很风凉！有个小演出，很自然那种，没有小动物被压迫的感觉！而且树间有很多猴子跳来跳去！遗憾的是亚马逊漂流在检修，没有乘到！,江苏,22/10/2023
悠莜琦琦,5.0,所有的路线都精心策划，每个专题区都有各自不同的体验氛围。河流野生动物园提供了一个动态的游廊，供人们观看各种不同的静态风景，比如在景区的东部修建了一条165米长的观景长廊，人们在这条长廊上看到不同的风景，同时这条长廊本身也成为一景。,浙江,16/12/2023
悠莜琦琦,5.0,东南亚最大的熊猫栖息地 —— 苍翠茂盛的大熊猫竹林，探望大熊猫“凯凯”与“嘉嘉”。亚马逊水下森林主题馆是全球最大的淡水水族馆，展示每年汛期时的亚马逊雨林以及栖息其上的逾 18 种野生动物，如海牛与巨滑舌鱼。,浙江,16/12/2023
M46****3293,5.0,河川生态园比想象的小很多，如果走马观花似的浏览也许一个小时就可以逛完，但我们看的比较细致，各种拍照录像看演出逛商店居然花了三个多小时。左手边入园，顺时针浏览右手边出园。中间有很大的鱼塘水箱拍照很好看，最后也有很多大水池。桥的一边是熊猫馆，能看到大小熊猫，桥的另外一边有一个动物表演和亚马逊河游船项目，推荐参加。动物表演需要提前预约，现场的话要排队看运气如果人很多就看不了了。整体园区环境很好，适合散步闲逛还能学一些知识看一些稀有的鱼和动物，非常不错。,北京,20/11/2023
M58****0353,4.7,动物园不错，有多种表演，比如大象表演，鸟类表演等，对比泰国的Safari world来说也不逊色，而且不会有人兜售饮料零食合影什么的。  河川个人感觉不太行，可能是之前去了新加坡海洋馆的原因。而且去的那天正好遇到它游船停运，有部分没看到可能也是原因。 至于大熊猫凯凯和嘉嘉都藏在里面没怎么看到，还是去四川看熊猫吧。,泰国,20/10/2023
悠莜琦琦,5.0,交通：搭乘到khatib卡迪（Exit A）往左边走有接驳车，每15分钟来🚌！（first station 是新加坡飞禽公园不要下错车） 大概20mims到新加坡动物园、河川生态园和夜间野生动物园,浙江,16/12/2023
悠莜琦琦,5.0,亚马逊探索游船 可以现场买票，一趟10分钟左右，可以无限次乘坐（小朋友身高要在106cm以上:)👉🏻 🐼除了卡皮巴拉以外，这里还有东南亚Z大的熊猫栖息地，可以探望大熊猫凯凯和嘉嘉🍄,浙江,16/12/2023
悠莜琦琦,5.0,主题公园共分10个展区：北极的冻土地带、中国的扬子江、北美的密西西比河、非洲的刚果河、埃及的尼罗河、印度的恒河、澳州的穆理河、东南亚的湄公河、南美州的亚马逊河及新加坡的淡马锡河。,浙江,16/12/2023
匿名用户,5.0,每年进入雨季后，亚马逊河流域的水位暴涨，洪水将雨林淹没，形成了“洪溢林”这一特殊景观。河川生态园中的“亚马逊洪溢林”就将这一景观模拟，浓缩在一座世界最大的淡水水族馆中。,浙江,16/12/2023
匿名用户,5.0,小动物表演免费，但是需要网上抢位置的，很不幸没抢到，说是可以开演前去门口等候补位。。因为当时正好在熊猫馆看叻叻抢妈妈竹子吃，也没赶过去。运气不好的小伙伴可以去试试。,浙江,16/12/2023
悠莜琦琦,5.0,河言物语-水豚也会吃播卖艺 大河流域的动物有哪些习性？如何在复杂的雨林环境中生存？河川动物园的招牌动物表演给你答案。在“河言物语”动物表演中，鹈鹕、亚洲小爪水獭等河居动物将依次与大家见面，奉献长达25分钟的精彩表演。压轴出场的动物明星是憨态可掬的水豚，千万别错过！看完表演后，还可以上前与可爱动物合影留念。,浙江,16/12/2023
