username,rating,content,ip_address,time
M47****7348,5.0,我买了小火车票，但没坐，因为真的很小，我和孩子因为预定时间问题，8点多才入场，预约了9点半的表演，一共不到40分钟的时间，我们步行逛完了小路沿途小动物，还加上返程，坐小火车还得排队，又不能近距离打卡，既然我们去夜间动物园，不就是想探险吗，,新加坡,06/02/2024
匿名用户,5.0,去新加坡怎么可以错过夜间动物园，行程安排上可以是下午去动物园，6点动物园陆续闭园后门口吃点简餐再走去隔壁的夜间动物园，真的是走路即可到！划重点！1.夜间动物园的门票必须提前订（和动物园不是同一个）不然到早了还没到入园时间就只能在门口干等 2.中文小火车很有必要，但中文场的小火车场次不多…同理最好提前计划提前订 3.进门就约演出，值得看,上海,16/02/2024
遥遥爸爸,5.0,地铁站出来左转50米就有免费去公园的巴士，外观涂装动物园的图案，很好辨识，预定了19:15的第一场，准时进预检大门，里面蛇形通道用了15分钟左右正式入场，有免费观光电瓶车和步行两条线路，担心被动物吃掉所以放弃了步行。由于新加坡太阳落山晚，所以这个时间天并不是特别黑，所以有些猛禽感觉还未能醒。观光车一圈估计也就半小时不到，线路上的动物都看到，结束后在园内直接有晚餐可以吃。建议定20点左右的可能会参看效果更好吧。,上海,03/02/2024
233****570,5.0,值得一看，很多珍奇的野生动物。不过表演有点乏味，小火车也没太大必要。徒步是最棒的，近距离接触这些小东西们。除了太黑不出片，哈哈。,新加坡,31/12/2023
匿名用户,5.0,非常特别的体验。小火车全程慢速英语，但对动物的名字不熟悉的可能会有点遗憾，建议选中文小火车，那个排队人还少。步行道因为小火车排队时间长，孩子不会熬夜，太晚有小情绪，所以没看完，但看到的确实与白日不同，值得刷。,新加坡,17/02/2024
匿名用户,5.0,弹丸之地能想出这么多有人间特色的项目真的是“闻所未闻”，小火车就走马观花考验视力和运气，可自己走的时候真的惊艳四座，鳄鱼近在眼前，虎豹与你擦肩。特别是第一次听到了近距离群狮吼，震彻山谷的毛骨耸立感！值得推荐👍,北京,11/01/2024
匿名用户,5.0,来新加坡真的很推荐夜间动物园 交通方便 有接驳车 服务好 美食特别多 很喜欢 园区服务安排很好 夜间小火车太有意思了 快来玩吧,北京,17/02/2024
el****elt,4.7,夜间动物园要不要去，犹豫了好久，网上太多吐槽了，但实际体验下来，觉得很有趣！值得打卡！暑假排小火车的人是很多，对于我们先去走徒步路线啦，人不多也不少正合适（人太少也会有点点恐惧的感觉），虽然天很黑，动物真的是要很仔细才能辨别，但不妨碍我们觉得在夜间徒步动物园超有意思。整个路线走了快2小时，娃走得太认真啦，一个也不肯放过，中间在休息站喝饮料稍微耽误了15分钟，最有趣的是途中遇到饲养员就在路边给小袋鼠喂食，好可爱哦。最后出来再坐的小火车，9:45以后基本就不怎么排队了，坐火车能看到一些徒步看不到的动物，火车30分钟。来夜间动物园还是要徒步，更有体验感，然后最大的考验是体力，一天逛2个园子太累了，可是这里足足有4个动物园，得建个度假村才行。旁边现在确实是工地，不知道以后会不会有新的变化，22:30出园后走去打车，也排队了好久，特种兵的一天。,上海,24/08/2023
M46****3293,5.0,本次的行程安排是先观看夜间动物表演，随后乘坐小火车游览园区，简单吃了些晚餐，最后步行走完园中小径，晚上七点多入园十点多离开，安排的满满当当非常有意思。 建议更早一点入园这样可以在看表演时坐到前面一点的位置，看完表演后最好火速冲去小火车因为会有很多人都去排队而且因为很多动物夜里就休息了所以少早一点能看的多一些。小火车主要看大型动物，比如狮子大象一类，夜间小径主要是小动物，喜欢探险的朋友一定要去亲自走走，能看到食蚁兽蝙蝠等罕见的小动物，整体游玩的话三到四个小时也是可以的，不过要关注一下夜里的交通。,中国香港,15/11/2023
vickysj19,4.0,很多动物都睡觉了其实没怎么看到… 拍照很考验夜景模式… 一进门先去小火车转一圈…时间来得及再走一圈…不同的观感… 不要下雨天去…都躲起来了啥都看不到🥹,上海,20/12/2023
匿名用户,4.3,很适合带孩子去玩，买中文小火车的票基本不用排队，趁天色还没有完全黑下来乘坐最早一班小火车出发，不然等天黑了就几乎很难看清了。演出要提前预约的,新加坡,11/02/2024
悠莜琦琦,5.0,夜间野生动物园另一重要亮点是名为《夜晚的精灵》动物表演这项节目每夜于园内的露天圆型剧场举行。 节目形式创新，以娱乐方式配合舞台灯光及影响效果，呈现夜间动物特有的自然习性参与表演的动物包括美洲狮，熊狸，东方小爪水獭以及网纹蟒蛇。,浙江,16/12/2023
匿名用户,5.0,坐的夜间的小火车，看到了很多大型动物，狮子大象火烈鸟斑马，观赏距离 离得还挺近的 还有动物表演基本上都是英文~天气还挺热的,北京,04/01/2024
北京右下角,5.0,果然是特色动物园，夜间行走还有点小刺激，坐火车浏览是必备节目，解说挺有意思的，看见不少动物，还算不错的体验，然后四条步行路线自由选择。,北京,15/02/2024
全幼儿园最聪明,5.0,新加坡最值得看的动物园 很有特色 这个目的地绝对是旅行者的天堂！美丽的风景和丰富的文化让人流连忘返。” •“这次旅行真是太棒了！遇见了独特的风土人情，收获了难以忘怀的回忆。”,广西,06/02/2024
匿名用户,5.0,由于时间关系，白天玩了一天，晚上再进去夜晚动物园有些累了，加上排队坐车人太多了就看了个小剧场，算体验了一下，留下遗憾以后再来，不,浙江,25/12/2023
银河系里最温柔的搭车客,3.3,提前在携程上买好了新加坡夜间动物园的门票。需要预约！！包含小火车 距离市区还是有点路，打车半小时左右吧。旁边是日间动物园。进去里面是很大的餐饮区，然后就排队坐小火车绕着园区转一圈，个人感觉挺一般的，毕竟晚上看的不是很清楚，他是模拟月光。然后里面还有四条小路可以近距离的观赏夜间的动物，总的来说比较普通吧。体验一下！,上海,25/11/2023
马各盖丁,5.0,从来没有体验过的夜间动物园，虽然看到的动物不多，但是体验不错，夜间的表演也很特别，总体感觉动物们在这样的公园了没有别虐待的感觉,贵州,28/10/2023
John_Du,5.0,体验挺新奇的，但实际上动物的密度和观看感受很低 但是对儿童是真的友好，全程可以推小车,海南,01/02/2024
匿名用户,5.0,非常适合亲子游，女儿几年前去过，说是她最喜欢的动物园，推荐一定要带弟弟来玩。老少皆宜的旅行，可以小火车，可以徒步，很有趣,辽宁,17/02/2024
e36****22,4.3,导览车有很多班次，但带中文解说的好像只有两班，19:15和20:25。建议早一班游览，尽量在天将暗未暗之时，也比较好拍照。 如果第一班没赶上，第二班又有空位的话工作人员会安排下一班。 每个人会发一个耳机，结束后可以直接带走。耳机插在座位后面的插座中，调对频道就可以听了。 因为是游览车，所以离动物还是有点远的，加上天黑，灯不够亮，每个点看的时间又比较少，很难拍照。 趣味性稍微弱一些。,浙江,22/01/2024
悠莜琦琦,5.0,新加坡夜间野生动物园(Night Safari)于1994年开放，占地面积38公顷，是世界上第一间专为夜间动物而设立的野生动物园，曾12次荣获由新加坡旅游局颁发的“最佳旅游景点体验奖”，每年迎来约110万名游客，地理位置毗邻新加坡动物园和河川生态园，构成白天和夜晚的旅游产品组合。,浙江,16/12/2023
M52****2001,5.0,夜间动物园的争议比较大，这里我说点比较客观的评价，如果你是喜欢新奇事物，爱探险的那种人，来这里就对了；如果你是比较保守的那种类型，对于新事物没有太多好奇心，那这里可能对你是个大坑。  因为这次是跟父母一起去，我觉得非常爽，很有沉浸感，晚上步行看动物非常的有氛围，然而我父母觉得很无聊，晚上漆黑嘛乌的看不清楚，觉得还不如去国内的动物园。所以这里要不要去，一定要根据性格来，切记！,上海,02/10/2023
匿名用户,5.0,值得一去，可惜就是圈养的动物，不过圈养环境是尽量原生态。动物喂养员和动物关系不错。虽然说晚上，但都有大灯，可以看得很清楚，但拍照要看技术和设备了,广东,13/11/2023
M29****8322,5.0,定了门票后，一定记得提前预约入园时间，这个很重要，要不门口排队很久。同时强烈推荐买中文小火车套票每个人只贵20-30元人民币，英文小火车虽然不额外收费，但排队能排到怀疑人生，而且说啥根本听不懂，都是动物名词，估计专八来了都不好使。 去程在红线地铁Khatib站下车后，可以门口免费乘坐动物园巴士到园区门口，夜间动物园晚7点15开放，但是不到7点可以入园，入园后有很多好吃的。7点后人行步道开放，但是我们约了7点30分的表演，表演也需要提前2小时预约，这个很重要。 表演内容比较一般，纯英文，动物也不太精彩，持续30分钟，出来后我们吃了点东西，坐了8点25分的中文小火车，大约30分钟，这段路程真心精彩，能看到很多动物，有一些很是稀少，特别在晚上看动物又是另一种感觉。奇怪的是大多数动物在夜间不睡觉，看的非常清楚。 做完小火车后，我和孩子决定走人行步道，一共4个小径，最开始计划走两个，结果越走越兴奋，我们一下走完了4个，1公里多的路程，走了1小时，过程很精彩，很多动物在火车上看不到。 需要注意的是，得亏国庆假期国内游客众多，要不有的地方真的很黑挺吓人。游客人少的时期，不建议自己走步道。,吉林,06/10/2023
匿名用户,5.0,夜间动物园三个亮点：徒步小径，夜间小火车，夜间表演。 ①夜间小火车一定要坐第一班，动物们还会活跃，建议带一个圆头插孔耳机，可以选择中文解说，全程30min； ②夜间表演要早早预订，规划好时间，选择适合时间段预订； ③徒步小径有四条，是相连的 河川生态园三个亮点：河流动物表演，亚马逊漂流探索，熊猫馆 ①河流动物表演一定要提前两小时尽快预定，观看名额很容易爆满； ②亚马逊漂流可以玩多次 ③熊猫馆有大熊猫和小熊猫，很温顺，很可爱,新加坡,01/10/2023
M15****195,5.0,看很多旅友评论夜间就是一个坑，本来想着坐个小火车就走，但去了后发现很有意思啊，就是有点考眼力，特别眼神不好的晚上看不清，但是坐完小火车后的徒步路线刺激又有趣，很值得带小朋友体验，可以近距离观察动物在夜间的生活形态，强烈建议大家走下徒步路线，真的有意思,广东,28/08/2023
136****6962,5.0,环境优美，动物园的动物很多，管理的很好，服务员的态度极好，热情帮助我们。,上海,05/01/2024
马各盖丁,5.0,值得体验，第一次逛夜间动物园。看到的动物不多，但贵在体验。来看看吧！,贵州,25/10/2023
136****6962,4.7,很好的动物园，管理好，环境好，动物品种多，就是天太热了，走了人很累,上海,30/12/2023
匿名用户,5.0,来新加坡还是要体验一次夜间动物园，暑期人很多，需要提前预约，进入园内动物小朋友会很兴奋，但动物并不是很多，有机会还是可以再打卡一下日间动物园的。,吉林,26/12/2023
匿名用户,5.0,难得的全球夜间动物园，就在动物园对面。可惜时间太晚了，动物园玩的太累了。晚上人多，怕回去麻烦。只看了个剧场。人太多排队进去时间很久，人挤人,浙江,25/12/2023
匿名用户,5.0,很方便，可以提前定好，现场直接出行。 小朋友们都很喜欢，是一次难得的体验，看到了很多动物。夜间的体验和白天想必很不一样，是一次愉快的旅行🧳,上海,29/11/2023
PrinceWang,5.0,超棒的夜间动物园体验。近距离观看动物，小火车和讲解趣味性很足。就是建议添加中文服务，毕竟华人游客一大半。很多不常见的动物在夜间的样子。,江苏,15/02/2024
悠莜琦琦,5.0,野生动物园以八个地理区域规划开来，如：东南亚雨林、非洲稀树大草原、尼泊尔河谷、南美州彭巴斯草原、缅甸丛林等。游人可通过3条步行道或通过游览车游览2条环路。,浙江,16/12/2023
320****436,5.0,比较新颖，有表演，但是表演不是特别特别呵呵。坐小火车，可以购买中文讲解。小火车时间要预约。夜间看动物比较新颖。也可以自己走。,福建,14/02/2024
悠莜琦琦,5.0,园内亦保存了新加坡仅存的几块热带雨林。在园内的巨木森林小径上漫步，游人将能够看到超过百种本土植物，其中一些亦有过百年的树龄。,浙江,16/12/2023
杨大侠,5.0,携程订票比官网便宜。中文小火车基本不用排队，但是时间比较受限，错过就没有了。演出只呢不过提前两小时预约，免费。一天有三场。,中国台湾,12/02/2024
呜呜子,5.0,新加坡的夜间动物园虽然和广州长隆都是一样有小火车，但是体验感不一样，中文小火车会发一个耳机，带小朋友能寓教于学。有些区域的东西会走近，司机会开很慢，防止伤害动物。,湖北,25/07/2023
M29****8322,5.0,定了门票后，一定记得提前预约入园时间，这个很重要，要不门口排队很久。同时强烈推荐买中文小火车套票每个人只贵20-30元人民币，英文小火车虽然不额外收费，但排队能排到怀疑人生，而且说啥根本听不懂，都是动物名词，估计专八来了都不好使。 去程在红线地铁Khatib站下车后，可以门口免费乘坐动物园巴士到园区门口，夜间动物园晚7点15开放，但是不到7点可以入园，入园后有很多好吃的。7点后人行步道开放，但是我们约了7点30分的表演，表演也需要提前2小时预约，这个很重要。 表演内容比较一般，纯英文，动物也不太精彩，持续30分钟，出来后我们吃了点东西，坐了8点25分的中文小火车，大约30分钟，这段路程真心精彩，能看到很多动物，有一些很是稀少，特别在晚上看动物又是另一种感觉。奇怪的是大多数动物在夜间不睡觉，看的非常清楚。 做完小火车后，我和孩子决定走人行步道，一共4个小径，最开始计划走两个，结果越走越兴奋，我们一下走完了4个，1公里多的路程，走了1小时，过程很精彩，很多动物在火车上看不到。 需要注意的是，得亏国庆假期国内游客众多，要不有的地方真的很黑挺吓人。游客人少的时期，不建议自己走步道。,吉林,06/10/2023
320****217,5.0,1，尽量在官网买票，携程买的话有个巨坑：小火车票的时间直接确定，但是入园票却没有确定，要你自己去官网再预定时间，而官网给第三方可预定的时间是偏晚的，可能给你排的时间已经晚于小火车的预定时间了！就像我一样！ 2，如果发生这个不幸的事情，我的经验是凭小火车的预定时间其实也能入园。门票的时间不是特别重要。 3，小火车看的东西比步行要多一些，但是步行能看的更清楚，一定要走！在漆黑的夜晚行走于树林间，不管是对情侣还是家庭都是极其难得的体验,新加坡,01/10/2023
139****6878,3.0,怎么说呢 换票也遇到了阻碍 一大一小和一个大人 三张票 只出了两个码 门口比较印度的小哥就拦着不让进，且不跟你多解释，让你自己去旁边弄好了再来…幸好有个华人阿姨在我求救后帮忙进去了 不然中文小火车时间都耽误了。,江苏,06/02/2024
睿智开心,5.0,第一次在晚上去动物园，挺有趣的一次旅行,北京,12/01/2024
匿名用户,5.0,亚洲唯一的夜间动物园，果然名不虚传！小火车坐一次，徒步走四条线路，当天保守估计3万步，老母亲腿已废，但是精彩刺激够味，夜里看动物别有一番滋味！强烈推荐遛娃！,湖北,21/08/2023
_WeCh****209275,5.0,非常值得去景点，能给你不一样的感受,北京,28/01/2024
M52****2001,5.0,一定要坐中文小火车，不然真的啥也听不懂，一片黑看的就没意思了。和其它评论推荐的一样，能早点去尽量早点去，不然一片黑确实还是会有点影响体验的，尤其是拍照是真不好拍啊,上海,02/10/2023
外星人,4.7,夜间动物园是此行的最大亮点，第一次在夜里去看动物，很考验眼力，很多有趣的动物需要步行才能看的到，这种体验感是以前没有过的，建议来新加坡的人一定要来体验一下。 这里要着重说一下少给一颗星的原因，是公园的入园管理太过于混乱，订的7点45的票，7点半就到了大门口，排着长长的队，问了前面人也是同样时间，快排到了才发现前面很多人都是后面的时间，于是经过允许带家人走到最前面，又到了下一个排队处，这时候已经快8点了，可是前面另一处入园口却卡着不放入园，8点整才放，我后来觉得他们应该是排的8点的队，但是全程也没有任何提示。等8点入园后紧赶慢赶的赶到中文小火车，被告知预定的8点的小火车已经走了，也不能改签，也不能退票，只能靠步行了，虽然后来感到由于步行反而体验到了很多不一样的，但是前面这波入园的体验真的让人很失望，建议园方不要设置各个不同入园时间，设置了也请提示到位或者在入园处按入园时间设置不同通道，否则大家都排一起，谁知道前面的人都是几点入场呢，耽误了后面行程直接影响到游玩心情，游客一定一定要早到，建议直接到最前面问现在排的是几点的队，否则耽误自己的事儿！,北京,07/10/2023
竹林外书斋的章鱼鼓手,5.0,哎嘿挺好玩的,中国台湾,31/12/2023
匿名用户,5.0,比官网价格还便宜，夜间动物园一定要来，第二次来了已经，上次我爸不让我走徒步路线他害怕，这次跟朋友来的把四段路走了个遍，体验感太好了。,中国澳门,03/09/2023
飞向上天际的鱼83,5.0,好喜欢，主要喜欢新加坡对待动物的人性话，感觉那里的动物都生活的好快乐，不是取悦人的工具，人们安静的观赏夜间的动物，和谐美好,广西,12/12/2023
