username,rating,content,ip_address,time
匿名用户,5.0,缆车站下来就是天空喜立，票价不贵预约方便，还是可以体验一下的。附近还有蜡像馆。顺便逛了一下圣淘沙，然后直接坐小火车出去了。,新加坡,18/12/2023
186****0783,5.0,去程缆车，即使春节期间人也不算多，一个轿厢八人，到了必须换乘捷运轻轨一站到环球影城，换乘要走几百米，但捷运路程只需要一两分钟就到了。回程没有坐缆车，直接捷运三站出岛，免费（可能是往返缆车已经购票了不再重复收费）。总体感觉跟方便，就是白天太热了，晚上游玩的时候才感觉活过来。,新加坡,15/02/2024
Makal,5.0,携程现在无法无天，订单24192235105涉嫌违约欺诈，态度蛮横，拒不退还不合理款项，相关部门都无法处置携程，只能司法诉讼，简直作死。,上海,08/02/2024
180****1731,5.0,淡季去的，人不多游玩感受非常好,北京,14/02/2024
孙先生ronaldsun1207,5.0,平时自己很少来这里，外地朋友来了可以带他们过来体验一下，很多外地人都是慕名而来，非常好的购物选择值得推荐一下，希望能有更多,北京,02/09/2023
205****326,5.0,整体不错，特别后一个项目，可以升高俯瞰圣淘沙的全景,天津,23/01/2024
Zx321111,5.0,好玩地方小方便找,海南,24/01/2024
匿名用户,5.0,去新加坡，再怎么样都值得去一下的圣淘沙岛，这次购买了缆车🚡门票，真是值得一去，可惜最开始弄反了方向，摆了个乌龙。还好全天自由来回各一趟，,浙江,21/08/2023
匿名用户,5.0,无需多说一级棒！,中国香港,12/02/2024
欢喜慢慢,5.0,圣淘沙岛是新加坡政府专为游人和国民打造的旅游休闲的小岛，也拉动了当地的消费。曾经非常的繁华，现在可能因为金沙的建成以及人们选择的多样性，反而变得没落了,北京,15/09/2023
M41****365,5.0,Wings的效果相当好，觉得这个门票超值，而且不用排队！！！圣淘沙非常大，下次会在这住一晚上然后体验一下海岛住宿的风光！,中国台湾,05/08/2023
新加坡旅行者,5.0,【景色】新加坡圣淘沙岛景色宜人，尤其是新加坡环球影城是来新加坡旅游的时候，打卡胜地。 【趣味】非常值得游览观光。 【性价比】性价比超高。,北京,02/08/2023
152****0194,3.7,管理有些混乱，缆车指示不清，小火车标识不清楚。里面的设施还是不错的。门票价格有点小贵。跟家人一起去的，总体感觉还可以，有些特色,广东,05/10/2023
津霸王,5.0,位于新加坡的圣淘沙岛是新加坡的著名旅游圣地，既有历史的遗迹，也有一流的海上游乐园，让人流连忘返,江苏,09/09/2023
298****762,5.0,岛虽小，但景色不错,广东,27/10/2023
lili****2003,5.0,岛上有海洋公园和环球影城。就是人太多了,上海,15/09/2023
吉祥嘎嘎,4.0,圣淘沙岛，缆车、高空升降车🚡主打就是远眺！但景区设施完备、服务好！穿梭捷运🚇还免费！,新加坡,25/09/2023
希洪吉罗德,5.0,著名的度假岛，上面有环球影城，水族馆，不错的地方,天津,01/08/2023
YANWEI9885,5.0,美丽圣淘沙，新加坡最佳打卡地。环球影城值得推荐,江苏,14/08/2023
qingxinxin,5.0,圣淘沙岛真的很不错的呢，推荐大家一起去玩的呢,广东,17/08/2023
300****396,5.0,Singapore famous place,墨西哥,15/08/2023
小舍儿,5.0,圣淘沙岛上三所主题度假酒店，加环球影城。,山东,05/08/2023
ron****xj,5.0,【趣味】有机会的话还是很想再去一次的,上海,13/09/2023
leeseabird,5.0,度假圣地阿 环境优美 人文景观也特别好,江苏,07/09/2023
陈忆玲,5.0,感觉不错哦 我觉得很好 哈哈哈还好还好,上海,22/08/2023
由我决定,5.0,很不错的地方，非常喜欢的一个好地方,北京,17/08/2023
billyxie伟,5.0,很漂亮的人工岛，新加坡娱乐圣地。,四川,01/09/2023
M29****8551,5.0,新加坡最有名的旅游景点自然景观,上海,27/08/2023
e_w****ui,5.0,新加坡最知名的景点之一圣淘沙岛,安徽,20/08/2023
匿名用户,5.0,除了物价贵其他都没啥毛病，适合蜜月，慢生活，在沙滩晒日光浴就能度过一天美好时光。,北京,13/10/2023
暗夜惊蛰,5.0,不论是情侣游玩，还是家庭亲子游，圣淘沙都是到新加坡的人必去之处。 岛没有很大，游玩项目却琳琅满目，有沙滩有海景。大大小小的游玩设施，足够一家三口玩好几天的。 只想静静度假、泡酒店的游客，也能非常方便的找到心仪的酒店去放松身心，闲暇之余还可以尽情血拼和品尝美食。,江苏,16/04/2023
M25****790,4.0,样样都好，景点集中，丰富多彩，干净，安全，唯一缺点就是样样都贵，再算汇率涨，哎,新加坡,06/09/2023
Lavender and Sun,5.0,新加坡南部岛屿。位于新加坡本岛以南500米处，东西长4千米，南北宽1.6千米，面积为3.47平方千米，是新加坡本岛以外的第三大岛。在圣淘沙岛殖民统治时期为英国海军基地，旧名绝后岛，1972年改名。,黑龙江,24/03/2023
ya****bs,4.0,新加坡的圣淘沙岛应该是暑假小朋友们非常喜欢的一个去处，各种水上游玩太开心,重庆,06/08/2023
152****0194,3.7,总体上乱乱的感觉，演出场次少，交通标识指示不清，缆车票说明不详细。风景倒是挺不错的，只是去的时候已经接近傍晚了，时间很有限,广东,05/10/2023
事事随缘,5.0,如果有机会，能够在一个城市，慢悠悠的多呆几天，如同当地人一样的生活，而不是打卡式的景点游玩，我想这是了解一座城市的最佳方法。新加坡来的游客非常多，每个旅游团必来的景点之一，无非就是鱼尾狮啊等等这些地方，人山人海，要想完美的拍摄一张照片，而且旁边不要有其他人，难度系数比较高，其实，城市化的东西，无论走到哪里都是差不多的，倒不如多去探访一些自然，至少也是与自然结合得比较好的地方，到是可以真正的放松一下平时忙碌的神经，我认为新加坡虽然也都是高度发达的现代化城市，但在水泥丛林中他的自然环境却也鼓捣得很好，素有“花园城市”的美称，干净整洁，舒适宜人，国土面积不大，但是绿化率很高，动植物充分体现了热带岛屿的特征，这里并没有名胜山水，但精心的把城市建设成为了一个大花园，自然环境好了，各种鸟类自然而然的在此栖栖繁衍，绿树成荫，椰风海韵，鸟语花香，把这里打造成了飞禽王国，新加坡的确有很多地方值得我们学习,N/A,09/05/2019
