username,rating,content,ip_address,time
匿名用户,5.0,新加坡摩天观景轮🎡高达165米🌟，曾是世界🌍蕞高的摩天轮，直到2014年被拉斯维加斯的“高高摩天轮”🎡（High Roller）所超越。但目前啊🤔，它仍然是全亚洲🌏蕞大的摩天轮🎡。,浙江,23/12/2023
匿名用户,5.0,携程购票很方便，价格和现场一致，没有多收钱。 晚上去的摩天轮，人不多，几分钟就进去了。里面有空调，很凉爽。景色非常漂亮，30分钟很快就过去了。 非常好！,新加坡,07/02/2024
匿名用户,4.7,可以俯瞰金莎，远眺鱼尾狮，原本担心顶着烈日是否会很晒，其实箱体内都有空调和隔热玻璃，很舒服。虽说每个最大可容纳10人，但人少的时候，一个家庭，最多4-5人一起，很合理的安排,北京,01/02/2024
amo0102,5.0,快日落的时候去搭乘 安安静静的欣赏夕阳西下 落日余晖洒满城市 🌆非常美丽 在亚洲圈 是我最喜欢的摩天轮了 带着娃一起感受 分享了很多的快乐,北京,17/02/2024
joycedongzy,4.7,夜景还是很美的 不过夜间反光要贴在玻璃上拍照 恐高的人就不太敢走动啦 值得去 但性价比比高,新加坡,11/02/2024
匿名用户,5.0,很值得推荐，新加坡的地标，风景很不错，位置也很好找，特别晚上能看灯光秀，非常精彩，非常震撼，摩天轮运转时，也非常平稳。。,上海,16/02/2024
匿名用户,5.0,可以在28个大小🚌相当于公共汽车的空调舱内“飞行”✈，以每秒0.78英尺的缓慢速度🐌完成一次单圈，每次行程⏰大约需要30分钟⏳。每个舱室🚪不仅配备了空调❄和紫外线过滤器☀，还提供了罗盘🧭和语音导游,浙江,23/12/2023
M46****3293,5.0,非常值得去的摩天轮，夜景超级好看，推荐不要太晚过去，因为理论上九点半就是最后一个仓位了，为了让排队的人都能上去，工作人员会在临近结束的时候尽量安排多一些人进同一个车厢。如果人少的时候，是可以两人独享一个车厢的。上摩天轮之前有一个时光之旅的展览，主要介绍新加坡的历史和发展，有一些互动设施也很有意思。在摩天轮转至最高点的时候会有一个特别提示，如果想要录像的话需要提前准备。前后左右都是透明的，可以看到金沙，滨海花园等地标建筑，不过由于室内外温差或者下雨的原因，门窗上可能有水汽会影响拍照。整体体验非常好，不虚此行。,北京,20/11/2023
匿名用户,5.0,从摩天轮上，可以欣赏到美丽的滨海湾风景，新加坡市区的全景以及远处马来西亚和印度尼西亚的景色，是世界上唯一一个可以远眺两个外国的摩天轮，是新加坡不可错过的旅游景点之一。,浙江,23/12/2023
匿名用户,4.0,坐在里面很稳，甚至感觉不出在动，轿厢很大，但这次放进去的人过多，估计得有十几人，还是有点挤，体验感受到一些影响。这次滨海湾花园和树丛灯光都没开，也影响了一些体验。,北京,02/02/2024
