ticket_name,price,currency,ticket_count,revenue,more_info
Adult Ticket,40,SGD,18780,751200,Singapore Flyer Ticket + Time Capsule Experience Adult Ticket
Child Ticket,25,SGD,6414,160350,Singapore Flyer Ticket + Time Capsule Experience Child Ticket
Family Ticket (2 Adults + 1 Child),105,SGD,113,11865,Singapore Flyer Ticket + Time Capsule Experience Family Ticket (2 Adults + 1 Child)
Family Ticket (1 Adult + 1 Child),65,SGD,116,7540,Singapore Flyer Ticket + Time Capsule Experience Family Ticket (1 Adult + 1 Child)
Adult Ticket,79,SGD,35,2765,Singapore Flyer Ticket+Time Capsule Experience+Singapore Sling Experience Adult Ticket
Child Ticket,31,SGD,9,279,Singapore Flyer Ticket+Time Capsule Experience+Singapore Sling Experience Child Ticket
Standard Ticket,79,SGD,21,1659,Singapore Flyer Ticket+Time Capsule Experience+Champagne Standard Ticket
Ticket for 2,520,SGD,16,8320,Singapore Flyer 165 Sky Dining (Shared Capsule) Ticket for 2
Standard Ticket,3117.4,SGD,0,0,Singapore Flyer Ticket+Time Capsule Experience+165 Sky Dining (Private Capsule) Standard Ticket-Couples Package (for 2 people)
Standard Ticket,3117.4,SGD,3,9351,Singapore Flyer Ticket+Time Capsule Experience+165 Sky Dining (Private Capsule) Standard Ticket-Group Package (up to 10 people)
Adult Ticket,72,SGD,377,27144,Gardens by the Bay Flower Dome + Cloud Forest Ticket + Singapore Flyer Ticket (With Time Capsule Experience) Adult Ticket
Child Ticket,46,SGD,118,5428,Gardens by the Bay Flower Dome + Cloud Forest Ticket + Singapore Flyer Ticket (With Time Capsule Experience) Child Ticket
Adult Ticket,70,SGD,632,44240,Singapore Flyer Ticket + Time Capsule Experience + Captain Explorer DUKW™ Tour Ticket(Include Guided Tour) Adult Ticket-Chinese/English Guided Tour
Child Ticket,50,SGD,285,14250,Singapore Flyer Ticket + Time Capsule Experience + Captain Explorer DUKW™ Tour Ticket(Include Guided Tour) Child Ticket-Chinese/English Guided Tour
Infant Ticket,12,SGD,13,156,Singapore Flyer Ticket + Time Capsule Experience + Captain Explorer DUKW™ Tour Ticket(Include Guided Tour) Infant Ticket-Chinese/English Guided Tour
Family Ticket (1 Adult + 1 Child),120,SGD,9,1080,Singapore Flyer Ticket + Time Capsule Experience + Captain Explorer DUKW™ Tour Ticket(Include Guided Tour) Family Ticket (1 Adult + 1 Child) - Chinese/English Guided Tour
Adult Ticket,65,SGD,126,8190,Singapore Flyer Ticket + Time Capsule Experience + FunVee Open Top Bus Hop-On Hop-Off 1-Day Bus Tour Adult Ticket
Child Ticket,45,SGD,41,1845,Singapore Flyer Ticket + Time Capsule Experience + FunVee Open Top Bus Hop-On Hop-Off 1-Day Bus Tour Child Ticket
Adult Ticket,74,SGD,47,3478,Singapore Flyer with Time Capsule + Gardens by the Bay (Flower Dome + Supertree Observatory) Adult Ticket
Child Ticket,46,SGD,20,920,Singapore Flyer with Time Capsule + Gardens by the Bay (Flower Dome + Supertree Observatory) Child Ticket
Adult Ticket,89.5,SGD,14,1246,Singapore Flyer Ticket (With Time Capsule Experience) + Night Safari Ticket Adult Ticket
Child Ticket,63,SGD,6,378,Singapore Flyer Ticket (With Time Capsule Experience) + Night Safari Ticket Child Ticket
Adult Ticket,123,SGD,16,1968,Singapore Flyer Ticket + Time Capsule Experience + Universal Studios Singapore Ticket Adult Ticket
Child Ticket,87,SGD,2,174,Singapore Flyer Ticket + Time Capsule Experience + Universal Studios Singapore Ticket Child Ticket
Adult Ticket,85,SGD,0,0,Singapore Flyer Ticket (With Time Capsule Experience) + Singapore Zoo Ticket Adult Ticket
Child Ticket,61,SGD,0,0,Singapore Flyer Ticket (With Time Capsule Experience) + Singapore Zoo Ticket Child Ticket
Adult Ticket,84,SGD,18,1512,Singapore Flyer (With Time Capsule Experience) + S.E.A. Aquarium Ticket Adult Ticket
Child Ticket,58,SGD,4,232,Singapore Flyer (With Time Capsule Experience) + S.E.A. Aquarium Ticket Child Ticket
Adult Ticket,167,SGD,30,5010,S.E.A. Aquarium ticket + Universal Studios Singapore ticket + Singapore Flyer ticket Adult Ticket
Child Ticket,120,SGD,15,1800,S.E.A. Aquarium ticket + Universal Studios Singapore ticket + Singapore Flyer ticket Child Ticket
