username,rating,content,ip_address,time
悠莜琦琦,5.0,这个座落在新加坡滨海湾附近的独特建筑叫 Sky Garden at CapitaSpring 51层的楼顶平台可以称得上🇸🇬视野蕞好的露台了 可以俯瞰到新加坡市中心的各个地标,浙江,23/12/2023
HiJessi,5.0,比现场买票便宜太多太多了，而且不用排队 出票是电子票，但缺点是不能退票 里面风景真的特别不错，尤其是从高往下看非常漂亮！,湖北,06/01/2024
悠莜琦琦,5.0,电梯只到17-20和51楼楼顶平台 17-20楼是旋转式开放式的空中小花园 绿色植被和橙色弯曲的走道结合出很有建筑结构的感觉 还有白色鸟笼拍照也很🉑️！,浙江,23/12/2023
Anna_88@,5.0,2个成人普通门票，大年初四来的，排队人很多，大概40分钟才可以到达上面，空中景色很美，阳光充足注意防晒，适合天气晴朗的时候上去，下雨天就不推荐了,新加坡,15/02/2024
银河系里最温柔的搭车客,4.3,提前在携程上买好了票 还是很方便的 不过需要提前预定时间过去看 在楼下有很明显的标识可以上去 排队不是很久 电梯上去可以看到新加坡全景 建议天气好的时候过去看 能见度比较好 傍晚最好 可以看日落 总得来说还可以 体验一下 可以看到马六甲海峡很多船停在哪里,上海,05/12/2023
悠莜琦琦,5.0,空中花园还设有可同时容纳几百人的公共观景台，宾客们在此能一览南中国海、滨海湾、以及新加坡城市的壮观美景。最让人称奇的是位于空中花园的空中游泳池，全长150米，距离地面200多米高，是全球最大的空中室外无边际游泳池。,浙江,16/12/2023
悠莜琦琦,5.0,新加坡空中花园如同一个巨型的冲浪板横跨在三座酒店的顶部。这座耗资1亿多美元建造的空中花园，占地1.24万平方米，距离地面200多米高，种植了250多棵树木和650多株植物，可同时容纳3900人参观游览。,浙江,16/12/2023
欢乐随喜,4.7,空中花园耸立于滨海湾中心地带的56层高空，观景台坐拥滨海湾全域美景和新加坡世界级都市景观，滨海湾金沙酒店一脉相连三栋塔楼，外观令人惊叹，而金沙空中花园就在酒店顶楼，想要欣赏新加坡指标性的天际线，并将繁华盛景一网打尽，这里绝对是首选。,上海,01/08/2023
悠莜琦琦,5.0,世界上的公共悬臂上有观景台、青翠园林、餐厅和大型无边泳池。观景台上，你能360度欣赏新加坡的繁华和海面上游轮的悠闲。漫步于青翠园林里，放松身心，享受热带里的绿意。 观景台在星期日、星期一、星期五、星期六18:30-22:00有现场奏乐。,浙江,16/12/2023
悠莜琦琦,5.0,金沙酒店的空中花园是高出地面的热带绿洲。上面种植了250多种树木和600多种植物，并由专业人士修缮，所以这里一年四季都是绿色的。空中花园由酒店的三座塔楼支撑，高出地面约200米。您可以从高处欣赏新加坡城市景观的全景。,浙江,16/12/2023
