username,rating,content,time,image,UserURL,Attraction,is_english
Anonymous User,4.0,胡姬花园作为世界遗产值得打卡，尤其是朋友在公园里脚上磨出了一个水泡，前台非常热情地拿出了创口贴，等给朋友包扎,17/02/24,3,https://sg.trip.com/review/singapore-botanic-gardens-76133-180765832?locale=en-SG,Botanic Garden,False
桜桜桜桜桜桜,5.0,带妈妈也算亲子游吧😂 客观的说，我很喜欢这里，有100多种兰花，不是哪里都可以看到这么多品种，真的很漂亮。这里除了有兰花，还有很多叫不上名字的花卉和植物，猪笼草我认识它，小的也就小拇指那么小，大的和我手掌一般大，这个家伙很可爱，夏天太适合家里养一盆。白天室外走路多还是有点吃不消，冷室里面我可以和妈妈一呆就是一两个小时。里面还有很多微景观，值得学习。,07/12/23,9,https://sg.trip.com/review/singapore-botanic-gardens-76133-180011121?locale=en-SG,Botanic Garden,False
Anonymous User,5.0,出票很快，绝对值得一去，里面很大，新加坡国花，很多品种，植物爱好者的天堂，门口的纪念品和书籍都想买回家，可惜太重带不走,07/10/23,6,https://sg.trip.com/review/singapore-botanic-gardens-76133-179292871?locale=en-SG,Botanic Garden,False
M27***30,5.0,非常美丽的地方，值得一去。我个人感觉比滨海湾花园好。特别是胡姬花馆，很多品种独特的蝴蝶兰，给爱花的人大大的惊喜。,12/08/23,5,https://sg.trip.com/review/singapore-botanic-gardens-76133-178256092?locale=en-SG,Botanic Garden,False
Anonymous User,5.0,比现场买票便宜，里面各种兰科植物都有，还有一个温室。胡姬花都非常漂亮,07/12/23,3,https://sg.trip.com/review/singapore-botanic-gardens-76133-180011032?locale=en-SG,Botanic Garden,False
Anonymous User,5.0,兰花品种非常多，非常漂亮,14/02/24,0,https://sg.trip.com/review/singapore-botanic-gardens-76133-180729784?locale=en-SG,Botanic Garden,False
M26***37,5.0,属于植物园里被圈起来的一小块区域，种满了一盆盆大大小小颜色各异的兰花，虽然都挺美的，但外行人也不太懂品种，走马观花没看出更多门道来，只觉得好热，最后草草兜了一圈就出去了。这个园区现场有很多上了年纪的韩国老人排队迎着兰花拍照片，个人其实觉得出片效果和世纪公园里的没什么两样。反倒是植物园随处可见的或高耸、或宽大，或簇拥的树木树丛更让人心旷神怡，既驱散暑气又有浓浓的热带风情。如果不是特别钟爱兰花的人，其实可以不用特意买张门票进来。,30/09/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-179166114?locale=en-SG,Botanic Garden,False
CHHHHHL,5.0,这里是新加坡的 SINGAPORE BOTANIC GARDEN 简称来说是植物园 这里可以享受一场大自然的约会 也可以探索各种各样的植物 享受大自然的宁静,17/11/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-179804282?locale=en-SG,Botanic Garden,False
202***68,5.0,超级棒的小型树林，树种丰富多样，喜欢这个的，值得好好逛逛，强烈推荐。兰花园就像看花展，挺美。,03/10/23,0,https://sg.trip.com/review/singapore-botanic-gardens-76133-179237584?locale=en-SG,Botanic Garden,False
_M1***76,5.0,喜欢尤其是胡姬花馆，做的太用心，值得一去，他们细节做的还是比较到位的,31/07/23,0,https://sg.trip.com/review/singapore-botanic-gardens-76133-177884262?locale=en-SG,Botanic Garden,False
探索大自然,5.0,Singapore 植物园交通非常方便，有地铁直接到。坐环线有植物园站，直接在这下车就是了，很好找。地铁站里面有标志哪个出口，好找。,21/05/23,4,https://sg.trip.com/review/singapore-botanic-gardens-76133-175907728?locale=en-SG,Botanic Garden,False
WYLEUNG,5.0,"冇嘢好得过在宁静的环境漫步, super like 👍🏻",11/11/23,0,https://sg.trip.com/review/singapore-botanic-gardens-76133-179737319?locale=en-SG,Botanic Garden,False
139***55,5.0,植物都不错，热带植物长得就好，也没有什么养护的痕迹。随处可见走地鸡，走地龟和走地蜥蜴也实在太可爱了。兰花园非常值得一去，几千种不同的兰花，目不暇接,07/03/23,9,https://sg.trip.com/review/singapore-botanic-gardens-76133-175109602?locale=en-SG,Botanic Garden,False
MinHoong,5.0,悠闲的好地方,29/10/23,0,https://sg.trip.com/review/singapore-botanic-gardens-76133-179563173?locale=en-SG,Botanic Garden,False
お肉さん,5.0,地域の方たちが、ジョギングしたり、犬のお散歩をしたりと、生活の一部にもなっているとてもステキな公园です。何カ所かある池には、ミシシッピアカミミガメが楽しそうに泳いでおり、愈されます！,11/05/23,3,https://sg.trip.com/review/singapore-botanic-gardens-76133-175801646?locale=en-SG,Botanic Garden,False
冬天bu冷,5.0,适合早晨一个人慢悠悠的散着，漫无目的的发呆与思考&hellip;或奔跑，或慢走，呼吸着清新的空气&hellip;,06/03/23,5,https://sg.trip.com/review/singapore-botanic-gardens-76133-175105915?locale=en-SG,Botanic Garden,False
まあ0570,5.0,とても美しい空间でした！またいきたい💕,08/05/23,5,https://sg.trip.com/review/singapore-botanic-gardens-76133-175779511?locale=en-SG,Botanic Garden,False
SofiiYen,5.0,"非常大嘅公园，环境优美，花草树木令人好放松, 仲有好多鸡通地走，湖中有鸭有龟，十分可爱。",26/02/23,4,https://sg.trip.com/review/singapore-botanic-gardens-76133-175028715?locale=en-SG,Botanic Garden,False
_TX***23,5.0,超爱这里，每次来新加坡都会从头到尾逛一遍的地方，强烈推荐给公园花园爱好者，里面拍照也超级梦幻好看，之前还碰到有人在里面拍婚纱🤩。有些地方稍微有点晒要记得做好防晒。,26/05/23,2,https://sg.trip.com/review/singapore-botanic-gardens-76133-175955113?locale=en-SG,Botanic Garden,False
Andrew79,5.0,新加坡享有 &ldquo;花园城市&rdquo; 美誉，作为一张靓丽的名片，植物园成为新加坡首个联合国教科文组织世界文化遗产地。园内景点包括国家胡姬花园 (The National Orchid Garden)，这里展示的胡姬花规模堪称全球之最，拥有超过 6 万株植物和胡姬花。,29/05/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175984570?locale=en-SG,Botanic Garden,False
+0000,5.0,枝繁叶茂、鸟语花香的新加坡植物园成为大众野餐、慢跑或远离城市喧嚣的理想去处。 在这张照片中背景的标志性凉亭曾是20 世纪30 年代军队乐团的表演地， 也被称为&ldquo;音乐亭&rdquo;。 新加坡享有&ldquo;花园城市&rdquo; 美誉，作为一张靓丽的名片，植物园成为新加坡首个联合国教科文组织世界文化遗产地，与柬埔寨吴哥窟和中国长城等标志性地标齐名。,24/05/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-175938241?locale=en-SG,Botanic Garden,False
Pau1982,4.0,新加坡植物园（英文：Singapore Botanic Gardens，马来文：Taman Botanik Singapura或Kebun Botani Singapura）占地74公顷[1]，位于新加坡。约为英国皇家植物园大小的一半，纽约中央公园的五分之一。开放时间为早上5点至午夜12点，并且除国家胡姬花园外全园免费[2]。新加坡植物园南部为荷兰路和那比尔路，东部为古鲁尼路，西部为泰瑟尔道和古鲁尼公园路，北部为武吉知马路。公园最南端距最北端约2.5公里。2015年7月4日，新加坡植物园被列入世界遗产名单。2015年7月4日，新加坡植物园被列入世界遗产名单，成为新加坡首个世界遗产项目。,21/05/23,3,https://sg.trip.com/review/singapore-botanic-gardens-76133-175910131?locale=en-SG,Botanic Garden,False
