username,rating,content,ip_address,time
joycedongzy,5.0,值得去一次 太空堡垒双规过山车孩子4+3刷 玩得相当high的 Cylon比Human更好玩 比一般过山车失重感没有那么强烈 很适合我 木乃伊复仇记也刷了两遍,新加坡,11/02/2024
匿名用户,5.0,新加坡环球影城开放时间10-19点，建议9点半就到入口，9:45会放行，趁人少先刷几个项目。项目如果排队超过1小时，就别排了，18-19这个时间段基本不排队，直接玩。19点是游乐项目结束时间，可以继续在乐园拍照购物到20点 侏罗纪公园漂流项目要收费存包，4新币，但隔壁木乃伊复仇记是免费存包（也是密码柜），趁人少的时候去刷漂流，包存在木乃伊,上海,25/01/2024
匿名用户,5.0,整体比较小，不做游戏的话走一圈20分钟就够了。去的时间还好，人不算多，热门项目排队50分钟就可以玩了。整体来说还算不错。在携程订的票价也比较便宜。没有必要买加速，除非想多次体验项目，要么等一等反而记忆深刻。项目体验一次就够了，没必要做多次。,新加坡,18/02/2024
匿名用户,5.0,环球影城还有啥可说的吗 哈哈哈 好玩呗 不知道是不是来的时候还没免签 寒假刚开始 人少 9岁的女娃戴上无限次手环 自己刷遍每一个喜欢玩的项目 双色过山车自己刷了13圈 我太佩服了 路人找回来合影 🤣 老母亲自己逛逛纪念品商店 拍拍照片 找个有冷气的餐厅舒服休息 各玩各的 开心就好,北京,17/02/2024
宝珠看世界,4.7,携程始终是首选，乐园门票不能取消，临到出行当天才下单。园区提供直饮水，带只杯或水壶可接水。园区门口有吃饭的地方，比园区便宜选择更多。不坐小火车上圣陶沙，可以选择走路去，十几分钟可达，还有很好的景色可以欣赏拍照,广东,15/02/2024
Rose 1314,5.0,在携程上订的行程，海洋馆和环球影城一起买的票，一共定了13个人的票，觉得挺方便的，就是检票的时候要一张一张打开扫码。比较麻烦。小朋友们玩得很开心，我也体验了过山车，真的是年纪大了，不敢坐了。来了新加坡这么多次，之前也来过圣淘沙，但是这是第一次来环球影城。很棒。携程挺方便的。,江苏,07/02/2024
118****092,5.0,新加坡环球影城开放时间10-19点，建议9点半就到入口，9:45会放行，趁人少先刷几个项目。项目如果排队超过1小时，就别排了，18-19这个时间段基本不排队，直接玩。19点是游乐项目结束时间，可以继续在乐园拍照购物到20点 PS某fish门票更有性价比,上海,25/01/2024
_M13****0029,5.0,好玩热闹，寒暑假都是高峰，里面服务不错👍，新加坡文明程度还是高。园区虽然不大，而且在圣淘沙岛上，但交通有捷运，也有公交，从市区出发也很方便。气候湿热，但园内有直饮水，餐厅应该不错，但为了多体验几个项目，没去考察园内餐饮。,陕西,25/01/2024
_WeCh****13803,5.0,园区不大，但是项目齐全，排队排队，玩了复仇木乃伊……室内过山车🎢，刺激，排队差不多四五十分钟，很多项目排个十多二十分钟也能玩，跟大黄蜂拍照📷都不需要排队，友好👬水上表演如果要坐前排，请记得穿好雨衣，不然全身湿了都是有可能的。逛一天下来还是很累的,广东,07/02/2024
匿名用户,5.0,总体来说还是不错的。人不多好多项目不用排队。那天赶上下雨，后面没怎么玩就离开了，可惜那么贵的门票了。过山车项目一个红色一个黑色代表人类和机器人还是很刺激的值得一玩。激流涌进项目会搞湿的提前带上一次性雨衣为好。我觉得奇怪人家游乐场怎么都不翻包啊？,上海,06/01/2024
M47****7348,5.0,环球虽小，麻雀虽小 五脏俱全，玩着不累，我们是周一去的，幸亏买了优速通，大家千万别看那些博主说的，不需要买，也可以体验感很好，新加坡的天30多度，别说排队40分，就10分钟也能让人顺脸淌汗，汗流浃背，我们买的是单项优速通，体验感真的很好，所有明星见面会，娱乐项目，都可以玩的不慌不忙，过几天免签，人一定_^巨多，所以想要玩的舒心，一定要买优速通,新加坡,06/02/2024
M23****6317,5.0,推荐游玩时间2小时。喜欢电影的会喜欢这里。纪念品周边也比较有性价比。很喜欢侏罗纪世界，推荐推荐。薯角也挺好吃的。拍照打卡非常酷,重庆,04/02/2024
布康维讷尼柳如是,3.7,没有买优先玩卡，中午进园的人还比较多，每个项目至少要30分钟-50分钟左右，到17:30以后人就少很多，基本5分钟就能玩上一个项目了。  园内吃饭的餐厅不太行，面很难吃,上海,29/12/2023
