Hotel ID,Hotel Name,Hotel URL
408551,Dorsett Singapore,https://www.agoda.com/dorsett-singapore/hotel/singapore-sg.html
1635,M Hotel Singapore,https://www.agoda.com/m-hotel/hotel/singapore-sg.html
10672643,Dusit Thani Laguna Singapore,https://www.agoda.com/dusit-thani-laguna-singapore/hotel/singapore-sg.html
51381,Hotel Royal @ Queens,https://www.agoda.com/hotel-royal-queens/hotel/singapore-sg.html
10604,Singapore Marriott Tang Plaza Hotel,https://www.agoda.com/singapore-marriott-tang-plaza-hotel/hotel/singapore-sg.html
5227,Village Hotel Changi by Far East Hospitality,https://www.agoda.com/village-hotel-changi-by-far-east-hospitality/hotel/singapore-sg.html
1105091,Hotel Boss,https://www.agoda.com/hotel-boss/hotel/singapore-sg.html
10600,Rendezvous Hotel Singapore by Far East Hospitality,https://www.agoda.com/rendezvous-hotel-sg-by-far-east-hospitality/hotel/singapore-sg.html
6593699,"Capri by Fraser China Square, Singapore",https://www.agoda.com/capri-by-fraser-china-square-singapore/hotel/singapore-sg.html
522329,One Farrer Hotel,https://www.agoda.com/one-farrer-hotel/hotel/singapore-sg.html
1192785,M Social Singapore,https://www.agoda.com/m-social-singapore/hotel/singapore-sg.html
165693,Studio M Hotel,https://www.agoda.com/studio-m-hotel/hotel/singapore-sg.html
10593,Grand Copthorne Waterfront Hotel,https://www.agoda.com/grand-copthorne-waterfront-hotel/hotel/singapore-sg.html
335555,Capri by Fraser Changi City. Singapore,https://www.agoda.com/capri-by-fraser-changi-city/hotel/singapore-sg.html
6840955,Village Hotel Sentosa by Far East Hospitality,https://www.agoda.com/village-hotel-at-sentosa-by-far-east-hospitality/hotel/singapore-sg.html
2256959,YOTEL Singapore Orchard Road,https://www.agoda.com/yotel-singapore-orchard-road/hotel/singapore-sg.html
920797,Aqueen Hotel Paya Lebar,https://www.agoda.com/aqueen-hotel-paya-lebar/hotel/singapore-sg.html
254056,V Hotel Lavender,https://www.agoda.com/v-hotel-lavender/hotel/singapore-sg.html
10617,Royal Plaza on Scotts Hotel,https://www.agoda.com/royal-plaza-on-scotts-hotel/hotel/singapore-sg.html
96909,Hotel Royal,https://www.agoda.com/hotel-royal/hotel/singapore-sg.html
10602,Hilton Singapore Orchard,https://www.agoda.com/hilton-singapore-orchard-sg-clean/hotel/singapore-sg.html
77323,Robertson Quay Hotel (SG Clean Certified),https://www.agoda.com/robertson-quay-hotel/hotel/singapore-sg.html
185945,Marina Bay Sands,https://www.agoda.com/marina-bay-sands/hotel/singapore-sg.html
10577,Village Hotel Albert Court by Far East Hospitality,https://www.agoda.com/village-hotel-albert-court-by-far-east-hospitality/hotel/singapore-sg.html
1411720,Hotel G Singapore,https://www.agoda.com/hotel-g-singapore/hotel/singapore-sg.html
873564,Hotel Chancellor@Orchard,https://www.agoda.com/hotel-chancellor-orchard/hotel/singapore-sg.html
89722,Amara Sanctuary Resort Sentosa,https://www.agoda.com/amara-sanctuary-resort-sentosa/hotel/singapore-sg.html
10611,Orchard Rendezvous Hotel by Far East Hospitality,https://www.agoda.com/orchard-rendezvous-hotel-by-far-east-hospitality/hotel/singapore-sg.html
2402698,Mercure Singapore on Stevens,https://www.agoda.com/mercure-singapore-on-stevens/hotel/singapore-sg.html
2402693,Novotel Singapore On Stevens,https://www.agoda.com/novotel-singapore-on-stevens/hotel/singapore-sg.html
410039,Park Avenue Changi Hotel,https://www.agoda.com/park-avenue-changi-hotel/hotel/singapore-sg.html
35668940,Momentus Hotel Alexandra,https://www.agoda.com/momentus-hotel-alexandra/hotel/singapore-sg.html
10595,Grand Park City Hall Hotel,https://www.agoda.com/grand-park-city-hall-hotel/hotel/singapore-sg.html
344614,Champion Hotel,https://www.agoda.com/champion-hotel/hotel/singapore-sg.html
10580,Carlton Hotel Singapore,https://www.agoda.com/carlton-hotel-singapore/hotel/singapore-sg.html
1122442,ibis Styles Singapore On Macpherson,https://www.agoda.com/ibis-styles-singapore-on-macpherson/hotel/singapore-sg.html
1177515,Holiday Inn Express Singapore Katong,https://www.agoda.com/holiday-inn-express-singapore-katong/hotel/singapore-sg.html
159109,Value Hotel Thomson,https://www.agoda.com/value-hotel-thomson/hotel/singapore-sg.html
65156,Oxford Hotel,https://www.agoda.com/oxford-hotel/hotel/singapore-sg.html
10627,York Hotel,https://www.agoda.com/york-hotel/hotel/singapore-sg.html
10598,InterContinental Singapore,https://www.agoda.com/intercontinental-singapore/hotel/singapore-sg.html
240232,Hotel 1900 @ Chinatown,https://www.agoda.com/hotel-1900/hotel/singapore-sg.html
10592,Goodwood Park Hotel,https://www.agoda.com/goodwood-park-hotel/hotel/singapore-sg.html
460426,Carlton City Hotel Singapore,https://www.agoda.com/carlton-city-hotel-singapore/hotel/singapore-sg.html
41737232,Arena eSports @ Orchard,https://www.agoda.com/arena-esports-orchard/hotel/singapore-sg.html
773983,Genting Hotel Jurong,https://www.agoda.com/genting-hotel-jurong/hotel/singapore-sg.html
109878,Value Hotel Balestier,https://www.agoda.com/value-hotel-balestier/hotel/singapore-sg.html
1184356,Oasia Hotel Downtown Singapore by Far East Hospitality,https://www.agoda.com/oasia-hotel-downtown-singapore-by-far-east-hospitality/hotel/singapore-sg.html
296332,Travelodge Harbourfront Singapore,https://www.agoda.com/bay-hotel-singapore/hotel/singapore-sg.html
97550,Hotel Mi Bencoolen,https://www.agoda.com/hotel-mi/hotel/singapore-sg.html
10586,Vibe Hotel Singapore Orchard,https://www.agoda.com/vibe-hotel-singapore-orchard_2/hotel/singapore-sg.html
10610,Orchard Hotel Singapore,https://www.agoda.com/orchard-hotel-singapore/hotel/singapore-sg.html
