hotel name,User Name,Country,Room Info,Stay Date,Traveller Type,Review Title,Rating,Happy Review,Unhappy Review,Review Date,Scraped At
Campbell Inn,Jawad,India,Bed in 12-Beds Mixed Dormitory Room,5 nights · March 2023,Solo traveller,Exceptional,10,"1- Chill Air-conditioner  in all rooms2- Drinking Mineral water- HOT & COLD3- Neat and indeed hygiene washrooms4- Heter water for (Bathing) with hair dryer 5- 24/7 High speed WiFi available6- Separate locker for each individual7- The Mattresses and bed covers are new8- Staff is very polite and kind 9- Microwave oven is available10- Full secured placeThe hostel is situated in little india where you can have food stalls and drinks at a very cheap price, another advantage is the metro station and the bus stand is just 100- Meters are far from the location.",,Reviewed: 1 April 2023,2024-02-11T08:02:01.200Z
Campbell Inn,H,United States,Bed in 12-Beds Mixed Dormitory Room,2 nights · December 2023,Solo traveller,Pleasant,6,"1. Good location, close to the station2. cheap price",1. The water heater is broken and there is no hot water for the shower.,Reviewed: 8 December 2023,2024-02-11T08:02:01.200Z
Campbell Inn,Abdul,India,Bed in 12-Beds Mixed Dormitory Room,1 night · October 2023,Solo traveller,Pleasant,6,I like the price,The whole night I didn't sleep because of bedbugs...In lower bed number 2 room H,Reviewed: 16 October 2023,2024-02-11T08:02:01.200Z
Campbell Inn,Zohaib,Malaysia,Bed in 12-Beds Mixed Dormitory Room,2 nights · September 2023,Solo traveller,Pleasant,6,It's a good atmosphere,I liked it,Reviewed: 14 October 2023,2024-02-11T08:02:01.200Z
Campbell Inn,Akhwat,Indonesia,Bed in 12-Beds Mixed Dormitory Room,2 nights · January 2024,Solo traveller,"So far ok,",5,"The place near mrt and bus stop, near Shop,","Other people  kind doesn't  have manners and dont know the rules, and woman and Man mix in one room",Reviewed: 20 January 2024,2024-02-11T08:02:01.200Z
Campbell Inn,Mustafiz,Bangladesh,Bed in 12-Beds Mixed Dormitory Room,3 nights · September 2023,Solo traveller,Pleasant,6,The bed,Fixed check in time,Reviewed: 30 September 2023,2024-02-11T08:02:01.200Z
Campbell Inn,Khac,Singapore,Bed in 8-Beds Mixed Dorm Room,6 nights · May 2023,Group,"mixed bunched beds, male and female are in the same room is not comfortable",5,location,facilities. the actual is not as per pictures,Reviewed: 24 May 2023,2024-02-11T08:02:01.200Z
Campbell Inn,Zubair,United Arab Emirates,2 Beds in 12-Beds Mixed Dormitory Room,2 nights · March 2023,Solo traveller,Passable,5,it’s good lower budget,,Reviewed: 2 March 2023,2024-02-11T08:02:01.200Z
Campbell Inn,Mohamed,Egypt,Bed in 12-Beds Mixed Dormitory Room,7 nights · February 2023,Solo traveller,Pleasant,6,Near about transportation,,Reviewed: 28 February 2023,2024-02-11T08:02:01.200Z
Campbell Inn,M,Malaysia,Bed in 12-Beds Mixed Dormitory Room,5 nights · January 2023,Solo traveller,Great experience,4,Amenities was great... Lots of shophouses.,Bathrooms & Washroom was not well maintained. Houserule for cleanliness was not followed.,Reviewed: 6 January 2023,2024-02-11T08:02:01.200Z
Campbell Inn,Ameer,Malaysia,2 Beds in 12-Beds Mixed Dormitory Room,1 night · August 2022,Group,Disappointing,4,Near to little India and public transport.,"Room B is the largest room in the premise, but only have 1 aircond. A little bit hot in night since my bed at the end of room.Bathroom super tiny and difficult to move.",Reviewed: 25 August 2022,2024-02-11T08:02:11.694Z
Campbell Inn,Nahid,Bangladesh,Bed in 8-Beds Mixed Dorm Room,4 nights · August 2022,Solo traveller,Good,6,It's a good hostel in a little India Singapore. staff are good and friendly.about 4/5 minutes walking for going to mrt station.,Everyday are not house keeping,Reviewed: 15 August 2022,2024-02-11T08:02:11.694Z
Campbell Inn,Thu,Vietnam,Bed in 12-Beds Mixed Dormitory Room,1 night · June 2022,Solo traveller,Pleasant,6,Cheap price for 1 night,The cleanliness of the room,Reviewed: 20 June 2022,2024-02-11T08:02:11.694Z
Campbell Inn,Russell,Canada,Bed in 12-Beds Mixed Dormitory Room,1 night · May 2022,Solo traveller,"Met my needs for low cost overnight accommodation, friendly management, but cleaning staff was lazy.",5,"Nice fellow guests, very affordable hostel style","Bathrooms are substandard, not as clean as they should be, no cooking allowed in kitchen due to antiquainted electrical system",Reviewed: 27 May 2022,2024-02-11T08:02:11.694Z
Campbell Inn,Kalaiarasan,Singapore,Bed in 12-Beds Mixed Dormitory Room,1 night · March 2022,Solo traveller,Ok,6,No comments,No comments,Reviewed: 27 April 2022,2024-02-11T08:02:11.694Z
Campbell Inn,Usman,Pakistan,Bed in 12-Beds Mixed Dormitory Room,1 night · January 2024,Solo traveller,Passable,5,Reasonable Charges,Policy,Reviewed: 5 January 2024,2024-02-11T08:02:11.694Z
Campbell Inn,Chia,Malaysia,2 Beds in 12-Beds Mixed Dormitory Room,1 night · December 2023,Group,Passable,5,location good,,Reviewed: 30 December 2023,2024-02-11T08:02:11.694Z
Campbell Inn,Ali,India,Bed in 12-Beds Mixed Dormitory Room,6 nights · September 2023,Solo traveller,Pleasant,6,,Cleanliness was not there,Reviewed: 17 September 2023,2024-02-11T08:02:11.694Z
Campbell Inn,Chard291626,Philippines,2 Beds in 12-Beds Mixed Dormitory Room,2 nights · June 2023,Family,Disappointing,4,"Cheap if you booked online, common bed. You'll need padlock to use locker. Plain and simple.",It happens that they turned off the aircon from 12-3pm while the're still people inside the room and me is working.,Reviewed: 4 June 2023,2024-02-11T08:02:11.694Z
