hotel name,User Name,Country,Room Info,Stay Date,Traveller Type,Review Title,Rating,Happy Review,Unhappy Review,Review Date,Scraped At
Ascott Raffles Place Singapore,Luis,Portugal,Cutler Suite,1 night · December 2022,Couple,Exceptional,10,"room very spacious and clean, great location",the night receptionist was unpleasant and not welcoming,Reviewed: 12 December 2022,2024-02-10T15:54:15.705Z
Ascott Raffles Place Singapore,Thi,Australia,Cutler Suite,4 nights · January 2024,Group,Excellent place,8,It was in a good location. The staff was very friendly and helpful.,,Reviewed: 29 January 2024,2024-02-10T15:54:15.705Z
Ascott Raffles Place Singapore,Kath,Australia,Cutler Suite,1 night · January 2024,Family,A good place to stay in a great location,8,"The room was spacious, quiet and clean. The bathroom was wheelchair accessible.",There was not shower chair in the bathroom for my daughter. We could have asked but we stayed only the one night so did not bother.The breakfast was good but not great. I would have thought for the price there might have been a larger selection and the food in the Bain marie was not hot.,Reviewed: 16 January 2024,2024-02-10T15:54:15.705Z
Ascott Raffles Place Singapore,Mahendra,India,Cutler Suite,6 nights · January 2024,Group,Good,7,Location,Lack of room service,Reviewed: 4 January 2024,2024-02-10T15:54:15.705Z
Ascott Raffles Place Singapore,Sarah,United Kingdom,Cutler Suite,2 nights · January 2024,Group,Excellent,9,"Comfy, located wellReception staff were lovely Really welcomed the bag storage and shower after a long day before travelling on",Only one mirror which was in the bathroom,Reviewed: 2 January 2024,2024-02-10T15:54:15.705Z
Ascott Raffles Place Singapore,Raoul,Denmark,Cutler Suite,2 nights · January 2024,Family,FINE STAY FOR OUR LAST STOP BEFORE FLYING BACK HOME,8,Location is great. In walking distance from Marina Sands Bay Area.,Pool was (too) cold.,Reviewed: 2 January 2024,2024-02-10T15:54:15.705Z
Ascott Raffles Place Singapore,John,Singapore,Collyer Suite,4 nights · December 2023,Family,Convenient stay,9,"The room amenities were complete. It had a freezer / fridge, pans, utensils, plates, bread toaster, water purifier, and washer/dryer. I like water purifier the most as I don't need to order water from the guest services, I just have to fill in the purifier to have a potable water.  I also like the washer/dryer, we didn't pack a lot of clothes and utilized the washer/dryer -- takes around 4 hrs per load, but you can leave it open while you're away.It is very near MRT station from Red/Green line and Blue line. Very accessible since it is in the heart of the city.Very near Lau Pa Sat for food.",The room smells old.The living room TV wifi is flaky.The TV in the bedroom had no wifi and the off switch from the remote doesn't work. You have to unplug the TV from the socket.,Reviewed: 30 December 2023,2024-02-10T15:54:15.705Z
Ascott Raffles Place Singapore,Camilia,New Zealand,Cutler Suite,3 nights · December 2023,Couple,"Very comfortable room, great facilities, friendly and helpful staff, and beautiful lobby with free coffee/tea.",9,"Close to most of the touristy places, within the financial district, and cpnveniently located close to hawker centre and restsurants and 7Elevn and MRT station entrances. The room had nespresso machine and capsules, TWG teas, a good sized fridge, hairdryer, good ized wardrobe space, big bathroom sink. Staff were wonderfully helpful and friendly.",The washing machine with dryer has a useless drying function. My clothes were still damp after 3.5 hrs of running the dryer! Finally sought the help of front desk who took my damp clothes to dry in the basement dryer for 45mins as I had a cruise ship to catch.,Reviewed: 30 December 2023,2024-02-10T15:54:15.705Z
Ascott Raffles Place Singapore,Riberu,Indonesia,Cutler Suite,3 nights · December 2023,Family,Superb,9,"Hotel, staff, location",The door in one room hard to open & close,Reviewed: 27 December 2023,2024-02-10T15:54:15.705Z
Ascott Raffles Place Singapore,Abdulaziz,Saudi Arabia,Cutler Suite,4 nights · December 2023,Solo traveller,Very good,8,Location Wonderful and extremely nice staff,Breakfast,Reviewed: 22 December 2023,2024-02-10T15:54:15.705Z
Ascott Raffles Place Singapore,Naseem,Australia,Cutler Suite,1 night · December 2023,Solo traveller,Not as good as hoped,7,1. Location was good2. Staff was friendly and kept my luggage while I went for a meeting after checking out3. Offered shower room after I checked out and returned to pick my luggage,"1. Not value for money2. Breakfast was very mediocre and not value for money despite it was not included in room rent and I paid extra for breakfast at the restaurant3. Hotel room and washrooms seems need renovation as furniture, door handles,washroom sanitary items etc. have gone old4. Elevator tunnel was very close to my room and its operational noise kept on waking me up whole night5. No water bottles in room for coffee making. Perhaps hotel expected to use tap water for the same. 6. Noisy AC7. No luggage transfer facility from hotel lobby to the room as normally it is provided in other good hotels8. Could not find tissue box in the room",Reviewed: 22 December 2023,2024-02-10T15:54:25.061Z
Ascott Raffles Place Singapore,David,Australia,Cutler Suite,4 nights · November 2023,Couple,Very good,8,Location and size of room,,Reviewed: 13 December 2023,2024-02-10T15:54:25.061Z
Ascott Raffles Place Singapore,Thomas,Switzerland,Collyer Suite,6 nights · December 2023,Family,Good,7,"Room was a good size, Living Room upstairs was useful and well positioned","Restaurant and food, generally, were not great",Reviewed: 10 December 2023,2024-02-10T15:54:25.061Z
Ascott Raffles Place Singapore,Sofia,Mexico,Cutler Suite,2 nights · November 2023,Couple,Superb,9,Very clean and good location,Lobby staff was not always there,Reviewed: 30 November 2023,2024-02-10T15:54:25.061Z
Ascott Raffles Place Singapore,Amit,United Kingdom,Collyer Suite,7 nights · November 2023,Solo traveller,Great,9,"Room, service, staff, breakfast, location. Proximity to office was the key","Would have been great if more veggie options were available in menu. Also, would have been great if restaurant was open on the weekend.",Reviewed: 22 November 2023,2024-02-10T15:54:25.061Z
Ascott Raffles Place Singapore,Christopher,United Kingdom,Cutler Suite,3 nights · November 2023,Solo traveller,Short stay in a suite with laundry capabilities to prepare for journey home and relax in higher comfort close to all thi,9,"Excellent room, location and staff",,Reviewed: 20 November 2023,2024-02-10T15:54:25.061Z
Ascott Raffles Place Singapore,Alvin,Malaysia,Cutler Suite,1 night · November 2023,Couple,Superb,9,"Loation is good, value for money.",,Reviewed: 14 November 2023,2024-02-10T15:54:25.061Z
Ascott Raffles Place Singapore,Sheryl,United States,Cutler Suite,2 nights · November 2023,Couple,"Great location, wonderful staff, nice hotel",9,"The Ascott Raffles Singapore is a wonderful hotel. The staff is exceptionally helpful and friendly. The rooms are spacious and modern, and the kitchen facilities came in handy. We had a nice view from a high floor. (See photos.) The location was in the business district, so there weren't a lot of restaurants around there and things were pretty quiet over the weekend, but it was in a great location. We were two blocks from the market with the hawker food stalls, and the metro was right across the street.  Because we were centrally located, we were able to walk to the Gardens on the Bay, The Marina Sands, the river/bay areas,  and Chinatown.  Our flight out of Singapore was very late and we had to check out of our room around noon, but there was a nice room available for lounging, watching TV, snacking, etc. that was available to us after we checked out.  The receptionist also said we could have access to the pool and shower facilities if we needed it after check out.","There were some issues with maintenance in our room. There had been some sort of leak from the bathroom and some of the floorboards just outside the bath were buckled, making it a bit dangerous for bare feet. Also, the door trim at the bath door was rotted, probably from the leak. It may have been an isolated incident in this particular room, but these sorts of things were unsightly, unsafe, and should have been repaired, particularly in a hotel of this caliber.  The AC worked well, but there wasn't a way to turn off the fan without turning off the air conditioner completely. It would have been nice to have the automatic style AC that shuts the fan off when the room gets to the proper temperature. The bed was a bit too firm for my tastes, but otherwise the room was comfortable.",Reviewed: 10 November 2023,2024-02-10T15:54:25.061Z
Ascott Raffles Place Singapore,Dr,Australia,Cutler Suite,2 nights · October 2023,Couple,Good,7,Great location and large spacious rooms,Expensive,Reviewed: 29 October 2023,2024-02-10T15:54:25.061Z
Ascott Raffles Place Singapore,Philip,Australia,Cutler Suite,2 nights · October 2023,Couple,Very nice hotel in a great location,8,"Very clean and spacious room with good amenities and accessories in the apartment. Great location and within walking distance to the Marina, Lau Pa Sat and the river",Our room had very small windows with no view.,Reviewed: 20 October 2023,2024-02-10T15:54:25.061Z
