Botanic Garden-1707390701
,username,rating,content,ip_address,time
Botanic Garden,桜桜桜桜桜桜,4.7,带妈妈也算亲子游吧😂 客观的说，我很喜欢这里，有100多种兰花，不是哪里都可以看到这么多品种，真的很漂亮。这里除了有兰花，还有很多叫不上名字的花卉和植物，猪笼草我认识它，小的也就小拇指那么小，大的和我手掌一般大，这个家伙很可爱，夏天太适合家里养一盆。白天室外走路多还是有点吃不消，冷室里面我可以和妈妈一呆就是一两个小时。里面还有很多微景观，值得学习。,上海,2023-12-07 21:45:10
Botanic Garden,匿名用户,5.0,比现场买票便宜，里面各种兰科植物都有，还有一个温室。胡姬花都非常漂亮,中国台湾,2023-12-07 19:08:34
Botanic Garden,匿名用户,5.0,出票很快，绝对值得一去，里面很大，新加坡国花，很多品种，植物爱好者的天堂，门口的纪念品和书籍都想买回家，可惜太重带不走,广东,2023-10-07 17:33:40
Botanic Garden,202****268,5.0,超级棒的小型树林，树种丰富多样，喜欢这个的，值得好好逛逛，强烈推荐。兰花园就像看花展，挺美。,中国香港,2023-10-03 11:06:43
Botanic Garden,M26****8537,5.0,属于植物园里被圈起来的一小块区域，种满了一盆盆大大小小颜色各异的兰花，虽然都挺美的，但外行人也不太懂品种，走马观花没看出更多门道来，只觉得好热，最后草草兜了一圈就出去了。这个园区现场有很多上了年纪的韩国老人排队迎着兰花拍照片，个人其实觉得出片效果和世纪公园里的没什么两样。反倒是植物园随处可见的或高耸、或宽大，或簇拥的树木树丛更让人心旷神怡，既驱散暑气又有浓浓的热带风情。如果不是特别钟爱兰花的人，其实可以不用特意买张门票进来。,上海,2023-09-30 13:25:44
Botanic Garden,M27****9930,5.0,非常美丽的地方，值得一去。我个人感觉比滨海湾花园好。特别是胡姬花馆，很多品种独特的蝴蝶兰，给爱花的人大大的惊喜。,江苏,2023-08-12 04:04:39
Botanic Garden,_m13****8976,5.0,喜欢尤其是胡姬花馆，做的太用心，值得一去，他们细节做的还是比较到位的,北京,2023-07-31 14:03:04
Botanic Garden,SallyinHK,2.3,喜欢兰花的可以去 或者家人出游 否则不推荐  全部人工种植 英文解说牌 路标不明显   有个冷气花房还不错 可以进去凉快下  有一个小屏幕和英文讲解在底层  对体力要求大 做好防晒工作,新加坡,2023-05-27 15:28:00
Botanic Garden,探索大自然,5.0,Singapore 植物园交通非常方便，有地铁直接到。坐环线有植物园站，直接在这下车就是了，很好找。地铁站里面有标志哪个出口，好找。,新加坡,2023-05-21 12:10:01
Botanic Garden,118****563,3.3,其实新加坡植物园是免费的，这里就是一个国家兰花园，里面转一圈的话大概半个多小时，花的品种还可以，性价比一般。,泰国,2023-05-09 10:30:13
Botanic Garden,joanne08H2021,5.0,园区大，环境好，适合一家大小过来,新加坡,2023-04-22 14:28:45
Botanic Garden,139****8455,5.0,植物都不错，热带植物长得就好，也没有什么养护的痕迹。随处可见走地鸡，走地龟和走地蜥蜴也实在太可爱了。 兰花园非常值得一去，几千种不同的兰花，目不暇接,印度尼西亚,2023-03-07 00:18:16
MBS,亚伦伊雪儿,5.0,酒店看码头,福建,2024-01-25 08:17:25
MBS,320****045,3.7,晒死！ 记得带伞，防晒,江苏,2023-11-23 08:10:07
MBS,悠莜琦琦,4.0,滨海湾金沙酒店，完美的打卡地标，非常好看。位置绝对是好，站在顶楼俯下身看，还是很美的。有小船在海边，滨海湾花园在酒店后面，非常方便。建议玩两天。,浙江,2023-10-27 13:41:43
MBS,心善渊旅游达人,0.0,滨海湾金沙是新加坡的一个标志性建筑，由三栋主楼组成，其中最高的楼是57层，另外还有6层地下室。这个建筑以其独特的外观和建筑设计而闻名，成为了新加坡的代表性地标之一。,安徽,2023-10-18 22:29:32
MBS,纽约小鸟,4.3,可以看到新加坡全景。,北京,2023-09-25 04:58:52
MBS,300****919,5.0,值得体验很美丽特别夜景，但是需要提早预定时间，否则在楼下等太久了,意大利,2023-09-14 06:13:09
MBS,匿名用户,5.0,太热了～不过太值得了～景色不错哦,新加坡,2023-09-04 01:42:56
MBS,欢乐随喜,4.7,不管你是去新加坡旅游，还是过境新加坡，除了新加坡几处必去的景点外，滨海湾金沙酒店亦是个不能错过的地方。里面的各种造型，充满着现代艺术的感觉。,上海,2023-08-08 07:54:28
MBS,_WeCh****909052,4.3,是个景点区 估计到了新加坡都回去看看。 从酒店一直走过去的。 拿个伞比较好。 有人借自行车的 太阳太烈了。不过空气是真的好,泰国,2023-08-07 23:02:26
MBS,D46****92,5.0,好的，非常棒,浙江,2023-03-25 10:16:26
MBS,joanne08H2021,5.0,滨海湾金沙酒店很好，可以瞭望整个新加坡市区的风景。,新加坡,2023-02-20 15:37:01
MBS,ya****bs,4.0,坡国市中心的滨海湾花园与金沙酒店都是非常有特色的打卡地，设计造型别致，夜景也比较好看，值得去看看,重庆,2023-01-08 00:20:57
MBS,安安琪琪,5.0,新加坡标志性建筑之一，尤其是楼顶无边泳池，很美,云南,2022-10-28 19:18:26
MBS,SISISIY,5.0,由3栋大楼组成的大型hotel，高200米57层楼，顶楼是游泳池和观景台，可以俯瞰整个城市和南部海域,新加坡,2022-10-11 10:16:02
MBS,o0唱游,5.0,滨海湾金沙酒店位于金沙广场南侧，是世界上最昂贵的酒店。,海南,2022-09-04 14:09:25
MBS,sunnycccc,0.0,金沙cbd这里都是高楼大厦 非常繁华,浙江,2022-08-06 23:32:23
