source,hotel_id,hotel_name,hotel_address,hotel_postal_code,lat,lon,total_reviews,overall_rating,overall_rating_category,rating_location,rating_service,rating_cleanliness,rating_room_comfort_and_quality,rating_value_for_money,rating_facilities
Agoda,408551,Dorsett Singapore,"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",088765,1.2796,103.84,10337,8.2,Excellent,9.0,8.4,8.3,8.1,8.1,7.9
Agoda,1635,M Hotel Singapore,"81 Anson Road, CBD, Singapore, Singapore, 079908",079908,1.2737,103.8451,9034,8.1,Excellent,8.2,8.1,8.5,8.2,8.0,8.0
Agoda,10672643,Dusit Thani Laguna Singapore,"11 Laguna Golf Green, Changi, Singapore, Singapore, 488047",488047,1.3236,103.9627,3149,8.6,Excellent,7.8,9.0,9.3,7.6,8.6,8.9
Agoda,51381,Hotel Royal @ Queens,"12 Queen Street, Bugis, Singapore, Singapore, 188553",188553,1.2976,103.8522,5140,8.2,Excellent,8.9,8.3,8.2,7.6,8.1,7.7
Agoda,10604,Singapore Marriott Tang Plaza Hotel,"320 Orchard Road, Orchard, Singapore, Singapore, 238865",238865,1.305,103.833,1131,8.6,Excellent,9.5,8.6,8.8,8.5,7.7,8.5
Agoda,5227,Village Hotel Changi by Far East Hospitality,"1 Netheravon Road, Changi, Singapore, Singapore, 508502",508502,1.3904,103.9861,13412,7.9,Very Good,7.8,8.1,8.1,7.9,7.9,7.8
Agoda,1105091,Hotel Boss,"500 Jalan Sultan Road, Kallang, Singapore, Singapore, 199020",199020,1.3058,103.8604,26294,7.8,Very Good,8.5,7.8,8.0,7.6,7.7,7.5
Agoda,10600,Rendezvous Hotel Singapore by Far East Hospitality,"9 Bras Basah Road, Bugis, Singapore, Singapore, 189559",189559,1.2986,103.8493,5634,8.4,Excellent,9.0,8.5,8.6,8.1,8.2,8.1
Agoda,6593699,"Capri by Fraser China Square, Singapore","181 South Bridge Road, Singapore, CBD, Singapore, Singapore, 058743",058743,1.284,103.8471,2494,8.8,Excellent,9.3,8.8,9.3,7.6,8.8,8.8
Agoda,522329,One Farrer Hotel,"1 Farrer Park Station Road, Little India, Singapore, Singapore, 217562",217562,1.3126,103.8539,9073,9.0,Exceptional,8.9,9.1,9.3,9.0,9.0,9.1
Agoda,1192785,M Social Singapore,"90 Robertson Quay, Clarke Quay, Singapore, Singapore, 238259",238259,1.2908,103.8373,8526,8.1,Excellent,8.2,8.2,8.6,7.6,8.0,7.9
Agoda,165693,Studio M Hotel,"3 Nanson Road , Clarke Quay, Singapore, Singapore, 238910",238910,1.2908,103.8392,21839,7.7,Very Good,8.0,7.9,8.0,7.8,7.7,7.7
Agoda,10593,Grand Copthorne Waterfront Hotel,"392 Havelock Road , Clarke Quay, Singapore, Singapore, 169663",169663,1.2903,103.8351,9822,7.9,Very Good,7.9,8.1,8.3,8.0,7.8,7.9
Agoda,335555,Capri by Fraser Changi City. Singapore,"3 Changi Business Park Central 1, Changi, Singapore, Singapore, 486037",486037,1.3342,103.9636,10456,8.6,Excellent,8.6,8.7,9.1,9.0,8.6,8.7
Agoda,6840955,Village Hotel Sentosa by Far East Hospitality,"10 Artillery Avenue, Sentosa, Singapore, Singapore, 099951",099951,1.2523,103.82,3411,8.8,Excellent,9.1,9.0,9.2,7.6,8.6,9.0
Agoda,2256959,YOTEL Singapore Orchard Road,"366 Orchard Road, Orchard, Singapore, Singapore, 238904",238904,1.3063,103.8313,21225,8.8,Excellent,9.4,8.8,9.2,7.6,8.5,8.4
Agoda,920797,Aqueen Hotel Paya Lebar,"33 Jalan Afifi Singapore , Geylang, Singapore, Singapore, 409180",409180,1.3221,103.8917,4205,8.0,Excellent,8.2,8.4,8.5,8.5,8.1,7.5
Agoda,254056,V Hotel Lavender,"70 Jellicoe Road, Kallang, Singapore, Singapore, 208767",208767,1.3078,103.8626,47270,7.7,Very Good,9.0,7.5,7.6,7.2,7.5,7.3
Agoda,10617,Royal Plaza on Scotts Hotel,"25 Scotts Road, Orchard, Singapore, Singapore, 228220",228220,1.3073,103.8322,16737,8.5,Excellent,9.3,8.6,8.7,8.5,8.2,8.2
Agoda,96909,Hotel Royal,"36 Newton Road, Novena, Singapore, Singapore, 307964",307964,1.3168,103.8419,10233,7.4,Very Good,8.0,7.3,7.4,6.9,7.6,7.0
Agoda,10602,Hilton Singapore Orchard,"333 Orchard Road, Orchard, Singapore, Singapore, 238867",238867,1.3021,103.8363,3883,9.0,Exceptional,9.7,9.2,9.5,7.6,8.7,9.1
Agoda,77323,Robertson Quay Hotel (SG Clean Certified),"15 Merbau Road, Clarke Quay, Singapore, Singapore, 239032",239032,1.2912,103.842,12095,6.8,Good,8.1,6.6,6.8,6.4,6.7,6.1
Agoda,185945,Marina Bay Sands,"10 Bayfront Avenue, Marina Bay, Singapore, Singapore, 018956",018956,1.2824,103.8584,32861,8.7,Excellent,9.1,8.9,9.2,8.6,7.9,9.2
Agoda,10577,Village Hotel Albert Court by Far East Hospitality,"180 Albert Street, Bugis, Singapore, Singapore, 189971",189971,1.3042,103.851,4439,7.9,Very Good,8.4,8.0,8.1,7.8,7.7,7.4
