page,note_url,title,noteid,username,userid,create_time,likes,images,comments,bookmarks,content,create_date,search_keyword,user_intro,user_tags,user_follows,user_followers,user_like_bookmark_total
1,https://www.xiaohongshu.com/explore/65c78fa50000000011003612,新加坡🇸🇬免签后，人也太多了吧，慎来！！,65c78fa50000000011003612,Debby黛比,641064a3000000002a0091f0,1707577253000,334,12,0,0,新加坡🇸🇬免签，首先欢迎大家来玩[哭惹R]但是过年期间真的不推荐，我在新加坡生活了这么多年，第一次看到这么多人，人头那种， 人山人海[哭惹R][哭惹R][哭惹R]今天在金沙吃个饭，真的震惊到我了。以前我在这个金沙food court吃饭， 至少我不是饭点来的时侯，还有位置，现在根本没有位置， 好不容易找了20分钟，终于坐下来吃了，别人就来问我是不是要吃完了[汗颜R][汗颜R]我真的很无语啊，没长眼吗， 我饭菜都是满的，我刚坐下来吃！！！而且吃的时候，旁边就站了两拨人想等着我吃完走， 真的坐下来吃饭的人，旁边都有人站着等，站着的人比吃饭的人还多！！！ 我以前从来买见过这样的。然后我也是第一次看到金沙商场这么多的人， 挤爆了。真的😭 人太多了， 劝大家最近不要去金沙了。新加坡是免签了 [哭惹R][哭惹R] 但是消费真的很高！给大家参考一下， 普通出去买个矿泉水在金沙那边基本都是2块多新币一瓶，大概10多rmb。一顿饭在food court 人均10多新币 ， 如果在商场里面，餐厅吃饭基本都是人均20起， 还有10% 服务费，9% 消费税， 如果要吃好一点的话 人均上百新币 没有上限[笑哭R] 是真的有点小贵，加上最近汇率真的很高！！ 5.4 左右 徘徊！打车什么的很近的距离都是80 多 rmb 100多起，可能10多分钟的距离这样[笑哭R]酒店是新加坡最贵的消费了， 这边1500 rmb左右的酒店水平就跟国内的快捷酒店一样，好一点的五星级酒店基本都是2k 3k起， 地标金沙酒店5k rmb起！如果姐妹是来旅游的， 可以先做下功课～最近刚免签[哭惹R]真的太多人来了！ 可以缓一缓， 过段时间再来， 而且最近雨季还没结束，动不动就暴雨！！！！ 新加坡会惩罚每一个出门不带伞的人！！ 大家出门一定要带伞！！,2024-02-12,guide,"来新加坡🇸🇬七年，喜欢看电视📺 
｜旅游🌍｜ 美食🍦｜探店🍴｜拍照📷",,10+,100+,1W+
1,https://www.xiaohongshu.com/explore/65c838db000000002d002ca6,免签+春节，新加坡被挤爆了！！!,65c838db000000002d002ca6,新加坡万事通,5f0ff5e50000000001005488,1707620571000,224,7,0,0,这个春节，新加坡免签了新加坡成了新的网红景点这个小岛彻底被挤💥爆了…,2024-02-12,guide,"新加坡旅游攻略、景点介绍、吃喝玩乐、折扣优惠、同城活动、资讯趣闻尽在新加坡万事通！
📮合作：media@singaporetong.com；VX：sgtong004",31岁 新加坡 媒体人,10+,1W+,30W+
1,https://www.xiaohongshu.com/explore/65c842e4000000000a0314a7,免签后的新加坡真的赢麻了 🫠🫠🫠🫠,65c842e4000000000a0314a7,棕耳兔🐰,56cbb47b4775a77a1ff8d1df,1707623141000,54,1,0,0,,2024-02-12,guide,"🇨🇳生活在新加坡超十年的西安女娃👩‍💼
✈️旅游攻略📷  😋美食探店🥂
💄美容护肤 💅 🦙好物分享🤑
📮📧：avahubunny@gmail.com
💖💕感谢关注💕💖",双鱼座 新加坡 旅行博主 探店博主,100+,1K+,1W+
1,https://www.xiaohongshu.com/explore/6573d1ca000000000503ac0f,给我从未见面的广州网友的新加坡4日攻略✈️,6573d1ca000000000503ac0f,芝士吃不饱,56af8dd7aed758721ef19091,1702089162000,53643,1,0,0, 城市拍照观光city walk 圣淘沙双线路！ 动物园别走冤枉路 樟宜机场+特产日-,2024-02-12,guide,"ALOHA, 这里是：
退役魔法美少女^芝士^｜ISFJ
新加坡🇸🇬某知名啥也不是博主
📮：zjingzhi7@gmail.com",白羊座 新加坡 vlog博主,100+,1W+,30W+
1,https://www.xiaohongshu.com/explore/65ca0bd2000000002c037ccc,🇸🇬来新加坡前要知道的新加坡旅游攻略,65ca0bd2000000002c037ccc,昆卡猫,5ede4a590000000001000990,1707740114000,3,5,0,0,去新加坡必带:[一R]护照(亲测身份证用不到，即使是中转机票，在始发机场护照值机后，安检都是刷护照)[二R]返程机票/签证(免签后，提供返程机票购买记录即可值机，如果之前有签证，说一句有签证也可以不查返程机票)[三R]填好的ICA条形码，一般不会查，但在新加坡出关前一定要填好新加坡的衣食住行：[骑行服R]衣服:1⃣一直是30-33度左右，怎么清凉怎么来就可以了2⃣适当备一件薄外套，商场和地铁里的空调很冷3⃣这边临近赤道，日照时间长、太阳大，街上打太阳伞的人不多，建议带好防晒霜🍔食:1⃣大家推荐的亚坤、松发肉骨茶、珍宝海鲜确实都值得去打卡一次，尤其是松发肉骨茶，汤头调的刚刚好，在别的食格吃的肉骨茶感觉药味太重了2⃣711的矿泉水很贵，建议找路边小店买水，各大景点也基本都有打水的地方🏚住:队友在这边租房了，所以这方面没有经验🚗行:1⃣电话卡可以提前在淘宝买好，或出了机场以后找711买，机场里面的比较贵2⃣下好Google play以备各种APP下载，也可提前准备好Grab、Google地图、MyTransport SG等常用APP3⃣亲测Gooqle地图在这边准确度最高，输入地名查找最方便，但不带朝向箭头有点麻烦，还是要和百度/高德等APP结合着用4⃣这边公交地铁很发达，再加上打车很贵，因此建议以公共出行为主5⃣公交车不报站，需要提前按铃才停车，不然会直接甩站，因此建议开着google地图/MyTransport SG再坐公交6⃣换200-300现金、带上有Mastercard或VISA功能的信用卡足以7⃣公交卡不需要额外购买，信用卡也可以刷8⃣这边的雨来得快去得快，建议带一把轻便的小伞,2024-02-12,guide,,,,,
1,https://www.xiaohongshu.com/explore/65c5c7e0000000002c012905,🇸🇬免签后的新加坡住宿贵？穷游过夜推荐,65c5c7e0000000002c012905,新加坡网鱼电竞,632dfcdd00000000230398f4,1707460576000,28,9,0,0,众所周知 今天 2月9号 新加坡和中国正式免签以后来新加坡就是说走就走的事了不远的距离 干净友好又能讲华文的国家 加上一整年的演唱会众多成为了旅游地的首选但是物价较高 住宿又太贵 随随便便一个小酒店都要一千多今天推荐大家一个穷游和高性价比攻略那就是来网鱼过夜[飞吻R]我们有优惠的包夜套餐 独立或双人多人私密包厢 加上24小时的服务和食品饮品最重要的是我们为所有包厢客人提供免费毛毯 拖鞋 湿巾 牙刷无需高价让您可以舒舒服服 又很享受的度过高性价比的一夜另外 我们全年无休 24/7都在线 欢迎所有来玩的朋友随时来找我们风里雨里 我们在网鱼等你,2024-02-12,guide,,,,,
2,https://www.xiaohongshu.com/explore/65c7a1e900000000110006d5,新加坡🇸🇬版的“人在囧途”之大型春运现场,65c7a1e900000000110006d5,畅游佳旅,5ba487f85d91770001afa35e,1707581930000,699,4,0,0,,2024-02-12,guide,"全球签证
真诚服务
认证机构
咨询受理",27岁 新加坡,10+,100+,1K+
2,https://www.xiaohongshu.com/explore/65c0bdb0000000002c029d6c,🇸🇬春节｜新加坡华乐团新春音乐会@晚晴园,65c0bdb0000000002c029d6c,新加坡流行速报,5aa49a7ce8ac2b0d48e64923,1707130288000,26,1,0,0,新加坡华乐团将把新春的喜庆带到晚晴园！在由晚晴园-孙中山南洋纪念馆举办的“2024春满人间聚晚晴”活动中，华乐团会特别呈献一场精彩缤纷的节庆音乐会！在副指挥倪恩辉的执棒下，为访客送上耳熟能详的曲目包括《喜洋洋 》《迎春接福》《恭喜恭喜 》《良宵》《姑苏行》《望春风》《春风吻上了我的脸 》《迎春花》《财神到 》《贺新年》《拜年》《小拜年 》和《恭喜发财》，为新的一年增添欢乐与温情。音乐会适合一家大小前来观赏。📅表演日期：2024年2月17日（星期六）📅表演时间：下午5点30分 - 6点30分📍表演地点：孙中山南洋纪念馆🎫入场免费.,2024-02-12,guide,"✔️新加坡新鲜事|旅游|美食｜护肤彩妆丨演出资讯
✔️🈴️作：dailysingapore88@gmail.com",新加坡,100+,1W+,10W+
2,https://www.xiaohongshu.com/explore/65b9fd85000000000702a5a4,🇸🇬新加坡购物｜小众暗黑买手店｜乌节路,65b9fd85000000000702a5a4,查理日刊,5b4193bfe8ac2b68e048f49c,1706687878000,125,4,0,0,"在乌节路暴走的时候偶然发现的店，超有风格！🛍️ Sects Shop by DEPRESSION📍 277 Orchard Road, Orchard Gateway #04-14, Singapore 238858🃏主打暗黑风格，有Guidi、Junn.J、Yohji Yamamoto、Rick Owens等等品牌，也有店主自己的独立品牌DEPRESSION。店面不算大，不必专门跑一趟，但如果路过乌节路很适合来逛一逛",2024-02-12,guide,,25岁,10+,10+,1K+
2,https://www.xiaohongshu.com/explore/65b9e1e3000000002c0176b8,🇸🇬新年期间新币换马币最高汇率，附表,65b9e1e3000000002c0176b8,新加坡财神爷,61b3536a0000000010005452,1706692505000,121,8,0,0,新年要到了，很多人都在换钱准备新年的时候用，如果你也是的话千万记得看看这篇笔记哟！这边帮大家总结集合了新币兑换马币最高汇率的几个地方，看看哪些地方最方便你吧！[斜眼R]如果是要换其他货币的话，介绍大家几个通常汇率会比较好的地方，在附近都可以去换，可以闭眼去汇率都不会差太多哈！[一R]牛车水珍珠坊[二R]Raffles The Arcade[三R]Orchard Road Lucky Plaza[四R]Parkway Parade[五R]Mustafa Centre,2024-02-12,guide,"只要有心，人人都可以发财🦦
一个小小的财神爷在小小的新加坡陪你吃喝玩乐发大财
🇸🇬好康分享｜旅游攻略｜美食探店｜活动打卡
💌sgfortunegod@gmail.com", Singapore,10+,100+,1W+
