username,rating,content,time,image,UserURL,Attraction,is_english,is_japanese,cleaned_content,all_words,verbs,nouns,adjectives
Anonymous User,4.0,胡姬花园作为世界遗产值得打卡，尤其是朋友在公园里脚上磨出了一个水泡，前台非常热情地拿出了创口贴，等给朋友包扎,17/02/24,3,https://sg.trip.com/review/singapore-botanic-gardens-76133-180765832?locale=en-SG,Botanic Garden,False,False,胡姬花园作为世界遗产值得打卡尤其是朋友在公园里脚上磨出了一个水泡前台非常热情地拿出了创口贴等给朋友包扎,胡姬花 园 世界遗产 值得 打卡 朋友 公园 里脚上 磨出 水泡 前台 热情 拿出 创口 贴 朋友 包扎,值得 打卡 磨出 拿出 贴 包扎,胡姬花 世界遗产 朋友 公园 水泡 前台 热情 创口 朋友,
桜桜桜桜桜桜,5.0,带妈妈也算亲子游吧😂 客观的说，我很喜欢这里，有100多种兰花，不是哪里都可以看到这么多品种，真的很漂亮。这里除了有兰花，还有很多叫不上名字的花卉和植物，猪笼草我认识它，小的也就小拇指那么小，大的和我手掌一般大，这个家伙很可爱，夏天太适合家里养一盆。白天室外走路多还是有点吃不消，冷室里面我可以和妈妈一呆就是一两个小时。里面还有很多微景观，值得学习。,07/12/23,9,https://sg.trip.com/review/singapore-botanic-gardens-76133-180011121?locale=en-SG,Botanic Garden,False,False,带妈妈也算亲子游吧 客观的说我很喜欢这里有多种兰花不是哪里都可以看到这么多品种真的很漂亮。这里除了有兰花还有很多叫不上名字的花卉和植物猪笼草我认识它小的也就小拇指那么小大的和我手掌一般大这个家伙很可爱夏天太适合家里养一盆。白天室外走路多还是有点吃不消冷室里面我可以和妈妈一呆就是一两个小时。里面还有很多微景观值得学习。,带 妈妈 算 亲子 游   客观 的说 喜欢 多种 兰花 品种 真的 很漂亮 兰花 很多 名字 花卉 植物 猪笼草 小拇指 手掌 家伙 可爱 夏天 太 适合 家里 养 一盆 白天 室外 走路 吃不消 冷室 妈妈 呆 一两个 小时 很多 微 景观 值得 学习,带 算 游 喜欢 可爱 适合 养 呆 值得 学习,妈妈 亲子 客观 兰花 品种 很漂亮 兰花 名字 花卉 植物 猪笼草 小拇指 手掌 家伙 走路 冷室 妈妈 小时 微 景观,
Anonymous User,5.0,出票很快，绝对值得一去，里面很大，新加坡国花，很多品种，植物爱好者的天堂，门口的纪念品和书籍都想买回家，可惜太重带不走,07/10/23,6,https://sg.trip.com/review/singapore-botanic-gardens-76133-179292871?locale=en-SG,Botanic Garden,False,False,出票很快绝对值得一去里面很大新加坡国花很多品种植物爱好者的天堂门口的纪念品和书籍都想买回家可惜太重带不走,出票 很快 值得 很大 新加坡 国花 很多 品种 植物 爱好者 天堂 门口 纪念品 书籍 想 买 回家 可惜 太重 带 走,值得 想 买 可惜 带 走,出票 新加坡 国花 品种 植物 爱好者 天堂 纪念品 书籍 回家 太重,很大
M27***30,5.0,非常美丽的地方，值得一去。我个人感觉比滨海湾花园好。特别是胡姬花馆，很多品种独特的蝴蝶兰，给爱花的人大大的惊喜。,12/08/23,5,https://sg.trip.com/review/singapore-botanic-gardens-76133-178256092?locale=en-SG,Botanic Garden,False,False,非常美丽的地方值得一去。我个人感觉比滨海湾花园好。特别是胡姬花馆很多品种独特的蝴蝶兰给爱花的人大大的惊喜。,美丽 地方 值得 个人感觉 滨海湾 花园 特别 胡姬花 馆 很多 品种 独特 蝴蝶兰 爱花 大大的 惊喜,值得,美丽 地方 个人感觉 滨海湾 花园 胡姬花 馆 品种 蝴蝶兰 爱花 大大的,独特 惊喜
Anonymous User,5.0,比现场买票便宜，里面各种兰科植物都有，还有一个温室。胡姬花都非常漂亮,07/12/23,3,https://sg.trip.com/review/singapore-botanic-gardens-76133-180011032?locale=en-SG,Botanic Garden,False,False,比现场买票便宜里面各种兰科植物都有还有一个温室。胡姬花都非常漂亮,现场 买票 便宜 兰科 植物 温室 胡姬花 漂亮,,现场 买票 兰科 植物 温室 胡姬花,便宜 漂亮
Anonymous User,5.0,兰花品种非常多，非常漂亮,14/02/24,0,https://sg.trip.com/review/singapore-botanic-gardens-76133-180729784?locale=en-SG,Botanic Garden,False,False,兰花品种非常多非常漂亮,兰花 品种 漂亮,,兰花 品种,漂亮
M26***37,5.0,属于植物园里被圈起来的一小块区域，种满了一盆盆大大小小颜色各异的兰花，虽然都挺美的，但外行人也不太懂品种，走马观花没看出更多门道来，只觉得好热，最后草草兜了一圈就出去了。这个园区现场有很多上了年纪的韩国老人排队迎着兰花拍照片，个人其实觉得出片效果和世纪公园里的没什么两样。反倒是植物园随处可见的或高耸、或宽大，或簇拥的树木树丛更让人心旷神怡，既驱散暑气又有浓浓的热带风情。如果不是特别钟爱兰花的人，其实可以不用特意买张门票进来。,30/09/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-179166114?locale=en-SG,Botanic Garden,False,False,属于植物园里被圈起来的一小块区域种满了一盆盆大大小小颜色各异的兰花虽然都挺美的但外行人也不太懂品种走马观花没看出更多门道来只觉得好热最后草草兜了一圈就出去了。这个园区现场有很多上了年纪的韩国老人排队迎着兰花拍照片个人其实觉得出片效果和世纪公园里的没什么两样。反倒是植物园随处可见的或高耸或宽大或簇拥的树木树丛更让人心旷神怡既驱散暑气又有浓浓的热带风情。如果不是特别钟爱兰花的人其实可以不用特意买张门票进来。,植物园 里 圈起来 一小块 区域 种满 一盆 盆 大大小小 颜色 各异 兰花 挺 美的 外行人 太 懂 品种 走马观花 没 门道 热 草草 兜 一圈 园区 现场 很多 年纪 韩国 老人 排队 迎 兰花 拍照片 出片 效果 世纪 公园 里 没什么 两样 反倒 植物园 随处可见 高耸 宽大 簇拥 树木 树丛 更让人 心旷神怡 驱散 暑气 浓浓的 热带 风情 特别 钟爱 兰花 不用 特意 买 张 门票 进来,圈起来 种满 懂 没 兜 迎 反倒 簇拥 驱散 不用 买 进来,植物园 区域 盆 颜色 兰花 美的 外行人 品种 门道 草草 园区 现场 韩国 老人 排队 兰花 拍照片 出片 效果 世纪 公园 植物园 高耸 树木 树丛 更让人 暑气 热带 风情 钟爱 兰花 门票,各异 热 宽大
CHHHHHL,5.0,这里是新加坡的 SINGAPORE BOTANIC GARDEN 简称来说是植物园 这里可以享受一场大自然的约会 也可以探索各种各样的植物 享受大自然的宁静,17/11/23,1,https://sg.trip.com/review/singapore-botanic-gardens-76133-179804282?locale=en-SG,Botanic Garden,False,False,这里是新加坡的 SINGAPORE BOTANIC GARDEN 简称来说是植物园。这里可以享受一场大自然的约会。也可以探索各种各样的植物。享受大自然的宁静,新加坡   SINGAPORE   BOTANIC   GARDEN   简称 植物园 享受 一场 大自然 约会 探索 各种各样 植物 享受 大自然 宁静,简称 享受 探索 享受,新加坡 植物园 约会 植物 宁静,
202***68,5.0,超级棒的小型树林，树种丰富多样，喜欢这个的，值得好好逛逛，强烈推荐。兰花园就像看花展，挺美。,03/10/23,0,https://sg.trip.com/review/singapore-botanic-gardens-76133-179237584?locale=en-SG,Botanic Garden,False,False,超级棒的小型树林树种丰富多样喜欢这个的值得好好逛逛强烈推荐。兰花园就像看花展挺美。,超级 棒 小型 树林 树种 多样 喜欢 值得 好好 逛逛 强烈推荐 兰 花园 花展 挺 美,喜欢 值得 逛逛 挺,树林 树种 兰 花园 花展 美,棒
_M1***76,5.0,喜欢尤其是胡姬花馆，做的太用心，值得一去，他们细节做的还是比较到位的,31/07/23,0,https://sg.trip.com/review/singapore-botanic-gardens-76133-177884262?locale=en-SG,Botanic Garden,False,False,喜欢尤其是胡姬花馆做的太用心值得一去他们细节做的还是比较到位的,喜欢 胡姬花 馆 太 用心 值得 细节 到位,喜欢 值得 到位,胡姬花 馆 太 用心 细节,
